metric,a5_train_sources,a5_value,backbone_sources_for_same_value,data_multiplier,status
hard_interference_macro_f1,10000,0.2906673675901626,18258.745574836186,1.8258745574836186,interpolated
hard_interference_macro_f1,30000,0.3812857329629833,79391.79362840697,2.646393120946899,interpolated
hard_interference_macro_f1,100000,0.4359411703132182,212472.82692570277,2.1247282692570275,extrapolated_beyond_100k
id_test_macro_f1,10000,0.3706269974404313,12851.128696749965,1.2851128696749965,interpolated
id_test_macro_f1,30000,0.4918728367724145,67913.09912535663,2.263769970845221,interpolated
id_test_macro_f1,100000,0.5633190142589516,226134.73753796113,2.261347375379611,extrapolated_beyond_100k
selected_validation_macro_f1,10000,0.35932804662045237,12176.366242959964,1.2176366242959964,interpolated
selected_validation_macro_f1,30000,0.48303939231031023,60179.01165990397,2.005967055330132,interpolated
selected_validation_macro_f1,100000,0.5591836526107306,192017.6682219626,1.920176682219626,extrapolated_beyond_100k
