model,model_short,regime,coverage,accuracy_mean,accuracy_seed_ci_low,accuracy_seed_ci_high,aurc_mean,ece_raw_mean,ece_calibrated_mean
a0_backbone,A0,hard_interference,0.1,0.9944,0.9913989093895992,0.9974010906104007,0.28892412067503037,0.038854986399710176,0.054625050806105135
a0_backbone,A0,hard_interference,0.2,0.9724999999999999,0.9680613271281394,0.9769386728718604,0.28892412067503037,0.038854986399710176,0.054625050806105135
a0_backbone,A0,hard_interference,0.3,0.8872666666666665,0.8760519135425463,0.8984814197907868,0.28892412067503037,0.038854986399710176,0.054625050806105135
a0_backbone,A0,hard_interference,0.5,0.6697599999999999,0.6600487420036959,0.6794712579963039,0.28892412067503037,0.038854986399710176,0.054625050806105135
a0_backbone,A0,hard_interference,0.7,0.5424571428571429,0.5342758464251784,0.5506384392891073,0.28892412067503037,0.038854986399710176,0.054625050806105135
a0_backbone,A0,hard_interference,0.9,0.4617555555555556,0.45526897329256794,0.46824213781854324,0.28892412067503037,0.038854986399710176,0.054625050806105135
a0_backbone,A0,hard_interference,1.0,0.42872000000000005,0.4226196462786015,0.4348203537213986,0.28892412067503037,0.038854986399710176,0.054625050806105135
a0_backbone,A0,id_test,0.1,0.9992000000000001,0.9981996364631999,1.0002003635368004,0.20262957681885294,0.025706077795326708,0.030712361562252044
a0_backbone,A0,id_test,0.2,0.9978,0.9969206313603213,0.9986793686396788,0.20262957681885294,0.025706077795326708,0.030712361562252044
a0_backbone,A0,id_test,0.3,0.977,0.9744940439099954,0.9795059560900046,0.20262957681885294,0.025706077795326708,0.030712361562252044
a0_backbone,A0,id_test,0.5,0.794,0.788430211549929,0.7995697884500711,0.20262957681885294,0.025706077795326708,0.030712361562252044
a0_backbone,A0,id_test,0.7,0.6574571428571429,0.6509877711972728,0.6639265145170129,0.20262957681885294,0.025706077795326708,0.030712361562252044
a0_backbone,A0,id_test,0.9,0.5658666666666666,0.5602837863204984,0.5714495470128349,0.20262957681885294,0.025706077795326708,0.030712361562252044
a0_backbone,A0,id_test,1.0,0.5266200000000001,0.5217376287032639,0.5315023712967363,0.20262957681885294,0.025706077795326708,0.030712361562252044
a0_backbone,A0,combined_ood,0.1,0.9994,0.9987088995711556,1.0000911004288444,0.2776631855927235,0.044693780193328855,0.05822075059294701
