regime,axis,level_db,model,model_short,row_count,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std
id_test,snr_db,-10.0,a0_backbone,A0,590,0.214843717195044,0.0149223062526556,0.2311864406779661,0.0154971246788643
id_test,snr_db,-10.0,a5_vimd_full,A5-VIMD,590,0.2322007700234135,0.0118248993734416,0.2513559322033898,0.0118522940590149
id_test,snr_db,-10.0,cssl_amc_supervised_adaptation,CSSL,590,0.1562650851586493,0.019267622084194,0.156271186440678,0.0189210718092063
id_test,snr_db,-10.0,mcldnn_reimplementation,MCLDNN,590,0.2442169573028359,0.013128271921951,0.2610169491525423,0.0151387130022308
id_test,snr_db,-10.0,iqformer_inspired,IQFormer,590,0.2701319996079917,0.0154540994064274,0.2871186440677966,0.0101443505932038
id_test,snr_db,-6.0,a0_backbone,A0,587,0.3025054101968458,0.0143320781575039,0.3243611584327087,0.0139605610406534
id_test,snr_db,-6.0,a5_vimd_full,A5-VIMD,587,0.3553929793516096,0.0087745170256963,0.3756388415672913,0.0106917492241696
id_test,snr_db,-6.0,cssl_amc_supervised_adaptation,CSSL,587,0.25300455602715,0.0240837742597914,0.252129471890971,0.023836560887922
id_test,snr_db,-6.0,mcldnn_reimplementation,MCLDNN,587,0.4154488164431404,0.0153598915519729,0.4495741056218058,0.0109362658936129
id_test,snr_db,-6.0,iqformer_inspired,IQFormer,587,0.4262465863264449,0.0148115926583672,0.459114139693356,0.0151576920102659
id_test,snr_db,-2.0,a0_backbone,A0,643,0.4633194045716821,0.0132616245853854,0.4668740279937792,0.0125663359470197
id_test,snr_db,-2.0,a5_vimd_full,A5-VIMD,643,0.5359255704718089,0.0090350337507033,0.5370139968895801,0.0100267832407793
id_test,snr_db,-2.0,cssl_amc_supervised_adaptation,CSSL,643,0.429903684211707,0.0155082297505168,0.4303265940902022,0.0158100263786787
id_test,snr_db,-2.0,mcldnn_reimplementation,MCLDNN,643,0.5987127185765944,0.0169261680648957,0.6048211508553655,0.0157657691120702
id_test,snr_db,-2.0,iqformer_inspired,IQFormer,643,0.6297853847220752,0.0167876703232812,0.6306376360808709,0.0187379674151662
id_test,snr_db,2.0,a0_backbone,A0,637,0.5556145268665128,0.0156259557133705,0.5767660910518053,0.0153493332013567
