regime,reference,reference_short,seed_count,delta_mean_pp,delta_seed_ci_low_pp,delta_seed_ci_high_pp,noninferior_margin_1pp,p_value_margin_1pp,noninferior_margin_2pp,p_value_margin_2pp
heldout_channel,cssl_amc_supervised_adaptation,CSSL,10,1.1314172310749715,0.3999877423846648,1.8628467197652783,True,5.0095595715717526e-05,True,2.334148182806595e-06
unseen_speed,cssl_amc_supervised_adaptation,CSSL,10,1.5363164214167429,0.9337048290813688,2.138928013752117,True,2.68755901539189e-06,True,1.6217663704957267e-07
id_test,cssl_amc_supervised_adaptation,CSSL,10,4.96205888644624,4.209080248063683,5.715037524828797,True,1.1979828621942503e-08,True,3.0574259934957012e-09
hard_interference,cssl_amc_supervised_adaptation,CSSL,10,4.910650816038954,4.179838184499393,5.6414634475785155,True,9.943197154771285e-09,True,2.5067440925191237e-09
hard_interference,mcldnn_reimplementation,MCLDNN,10,-1.9273976855484285,-2.9185156309974154,-0.9362797400994419,False,0.9683128276762701,False,0.43602404924923216
hard_interference,iqformer_inspired,IQFormer,10,-4.662583572483524,-6.6283635221459125,-2.6968036228211365,False,0.9988716100927137,False,0.9932581136266879
clean_retention,a0_backbone,A0,10,2.9959733675024043,2.445989639720689,3.5459570952841197,True,2.5435566137168222e-08,True,3.5746109895055565e-09
