selector,held_cell_mean_macro_f1,regret_vs_oracle_pp,a5_selection_fraction,expected_macs_million,mac_saving_vs_always_iqformer
always_a5,0.44884926752915727,14.190037395598171,1.0,41.8,0.8824521934758155
always_iqformer,0.5893911101469389,0.13585313382000752,0.0,355.6,0.0
sir_only_selector,0.5893911101469389,0.13585313382000752,0.0,355.6,0.0
overlap_sir_selector,0.5871716715405041,0.35779699446348845,0.0625,335.9875,0.055153262092238475
oracle,0.590749641485139,0.0,0.0375,343.83250000000004,0.033091957255343085
