probe_version,file,model,algorithm_seed,design,frozen_head_macro_f1,conclusion,probe_macro_f1_linear,probe_high_order_linear,probe_macro_f1_mlp,probe_high_order_mlp,validity
v2,probe_cv_a5_vimd_full_seed43.json,a5_vimd_full,43,cv,0.5008264171782413,information_present_head_limited,0.561688333361089,0.2685906999024149,0.5537160069400775,0.2557942942788878,valid
v2,probe_cv_cssl_amc_supervised_adaptation_seed17.json,cssl_amc_supervised_adaptation,17,cv,0.6040382765144794,information_present_head_limited,0.6189385203228064,0.38137588370662845,0.6199731843900167,0.35873823404716937,valid
v2,probe_cv_cssl_amc_supervised_adaptation_seed29.json,cssl_amc_supervised_adaptation,29,cv,0.6052923771709537,information_present_head_limited,0.6209836704405584,0.40689966269356226,0.6362991885595758,0.41088869904527564,valid
v2,probe_cv_cssl_amc_supervised_adaptation_seed43.json,cssl_amc_supervised_adaptation,43,cv,0.6092682046704339,information_present_head_limited,0.6253225880910677,0.41088297200433743,0.6335462869214419,0.42037639653879866,valid
v2,probe_cv_iqformer_inspired_seed17.json,iqformer_inspired,17,cv,0.6839151370750394,information_present_head_limited,0.7298701502121727,0.5758599658112888,0.7236782063703219,0.5851498352469936,valid
v2,probe_cv_iqformer_inspired_seed29.json,iqformer_inspired,29,cv,0.6862668984730853,information_present_head_limited,0.725710943730609,0.5479706892968745,0.7247026354429476,0.5318131446463964,valid
v2,probe_cv_iqformer_inspired_seed43.json,iqformer_inspired,43,cv,0.6903601543574883,information_present_head_limited,0.7267136191405379,0.5621574286961072,0.7181935942406286,0.5623676869927938,valid
v2,probe_cv_mcldnn_reimplementation_seed17.json,mcldnn_reimplementation,17,cv,0.6509523171178497,information_present_head_limited,0.6864511539032809,0.44921113766441545,0.6781072264237529,0.43702818569038426,valid
v2,probe_cv_mcldnn_reimplementation_seed29.json,mcldnn_reimplementation,29,cv,0.647568600446276,information_present_head_limited,0.6858205529708592,0.4587487097719388,0.6680100889629491,0.4191367288759672,valid
v2,probe_cv_mcldnn_reimplementation_seed43.json,mcldnn_reimplementation,43,cv,0.6427999425236829,information_present_head_limited,0.6779706979484548,0.42403946798079417,0.6511161068692279,0.35036744954567434,valid
