reference,reference_short,cells,intercept_pp,occupancy_slope_pp_per_unit,occupancy_slope_ci_low,occupancy_slope_ci_high,sir_slope_pp_per_db,sir_slope_ci_low,sir_slope_ci_high,r_squared_all_cells,r_squared_fit_split_only,holdout_pearson_r,holdout_rmse_pp,holdout_sign_agreement,holdout_cells
iqformer_inspired,IQFormer,113,-16.599171019765045,11.38706601807771,7.881935534323399,14.63943319560405,-0.6662891445688588,-0.8228421723566817,-0.49817268363898426,0.5798042350343774,0.7407583109645886,0.6936436853213249,6.1960016210235365,0.9753086419753086,81
mcldnn_reimplementation,MCLDNN,113,-14.27660485993453,13.93183602727939,8.711673878385689,18.52254774899987,-0.5038482589332288,-0.6725411030800168,-0.30405823275531124,0.4491031681830132,0.7728256437472507,0.5114152203839727,8.051174321151729,0.9506172839506173,81
cssl_amc_supervised_adaptation,CSSL,113,-6.866052745639297,19.528868661239233,14.487184388177438,24.401244153229023,-0.46706656321039985,-0.6134736260978391,-0.3030234075977155,0.5608272555410607,0.6614240614233814,0.7070610761432053,6.749505221977705,0.7777777777777778,81
a0_backbone,A0,113,3.09701428499739,2.2779034710781887,1.3021332004214408,3.2354411282025994,-0.07697316343773346,-0.12068881261284126,-0.03790144734910805,0.24699558231965268,0.13091311076138956,0.5077292217702039,1.7624714654296678,1.0,81
