bin,occupancy_mean,row_count,mean_sir_db,gain_vs_a0,gain_vs_a0_ci_low,gain_vs_a0_ci_high,gain_vs_cssl,gain_vs_cssl_ci_low,gain_vs_cssl_ci_high,analysis
"[0.000,0.000]",5.397638780380021e-09,1000,-7.289999961853027,0.036087529474790575,0.022442671011616764,0.049931115736522064,-0.07557287660468899,-0.09536937806531605,-0.05436754521146513,occupancy_quintile
"[0.000,0.166]",0.04778166115283966,1000,-7.164999961853027,0.036033507599643994,0.0216543685658673,0.051043324008719956,-0.03484894086341616,-0.055412127994053886,-0.012102883338259417,occupancy_quintile
"[0.166,0.370]",0.2910490930080414,1000,-7.454999923706055,0.05120109019544037,0.03522643917912493,0.06833241401091435,0.02670538760085104,0.00485428434672934,0.04955482224892161,occupancy_quintile
"[0.370,0.717]",0.48951396346092224,1000,-7.420000076293945,0.0547429316256545,0.038091000665938825,0.07322236956068064,0.0972219021381205,0.07429695470236017,0.12004837502654428,occupancy_quintile
"[0.717,1.000]",0.8838061690330505,1000,-7.724999904632568,0.04771946474719173,0.030384260874358332,0.06505892955779836,0.23311532928085907,0.2100595425219997,0.25560565957064924,occupancy_quintile
