split,stratum,reference,reference_short,row_count,macro_f1_difference,macro_f1_ci95_low,macro_f1_ci95_high,macro_f1_seed_std,accuracy_difference,accuracy_ci95_low,accuracy_ci95_high,bootstrap_draws,bootstrap_seed,algorithm_seed_count
clean_retention,all,cssl_amc_supervised_adaptation,CSSL,5000,-0.09693336064889325,-0.10525197281794037,-0.08873246223836873,0.0072311182539656045,-0.04176000000000002,-0.050520499999999996,-0.0331595,2000,20260812,10
clean_retention,all,a0_backbone,A0,5000,0.029959733675024015,0.024180867149582463,0.03627003196769907,0.007688242374928307,0.035519999999999996,0.028517499999999998,0.0428805,2000,20260812,10
clean_retention,all,iqformer_inspired,IQFormer,5000,-0.1913871266688684,-0.2026927757157788,-0.18034323004237,0.013037436462045134,-0.15515999999999996,-0.1665205,-0.14376000000000003,2000,20260812,10
clean_retention,seen_profiles_ACD,cssl_amc_supervised_adaptation,CSSL,2958,-0.09331330917265131,-0.104002564619237,-0.08197027779228935,0.00802740612420171,-0.038167680865449596,-0.049192866801893165,-0.026774002704530085,2000,20260812,10
clean_retention,seen_profiles_ACD,a0_backbone,A0,2958,0.029016572647225812,0.02175556318952102,0.03614030610751433,0.008824766788954533,0.03553076402974985,0.026707234617985125,0.04367900608519269,2000,20260812,10
clean_retention,seen_profiles_ACD,iqformer_inspired,IQFormer,2958,-0.19195611827676712,-0.20478617874863658,-0.17820028895558518,0.014707443891501791,-0.15669371196754564,-0.17025439486139285,-0.1421551724137931,2000,20260812,10
clean_retention,held_profiles_BE,cssl_amc_supervised_adaptation,CSSL,2042,-0.10185898040418677,-0.11510102503490069,-0.08782728488424739,0.011397038610676239,-0.04696376101860923,-0.060626836434867784,-0.032859941234084235,2000,20260812,10
clean_retention,held_profiles_BE,a0_backbone,A0,2042,0.03130568421114495,0.023682187502279642,0.03881109102380357,0.0070690537436523615,0.03550440744368264,0.025708863858961796,0.045104064642507345,2000,20260812,10
clean_retention,held_profiles_BE,iqformer_inspired,IQFormer,2042,-0.19013270216694464,-0.2052183940005355,-0.17660891795944536,0.01178021078492162,-0.15293829578844273,-0.16865817825661114,-0.13927522037218412,2000,20260812,10
clean_retention,profile_0,cssl_amc_supervised_adaptation,CSSL,975,-0.09116975276290187,-0.10891059495214786,-0.07340009872195663,0.011208746983021494,-0.038256410256410245,-0.05743846153846153,-0.019282051282051287,2000,20260812,10
clean_retention,profile_0,a0_backbone,A0,975,0.03551147064911408,0.024977533312452196,0.04691631179252095,0.009707955648024194,0.039897435897435905,0.027587179487179484,0.053538461538461535,2000,20260812,10
clean_retention,profile_0,iqformer_inspired,IQFormer,975,-0.18624191886823144,-0.20674407908908587,-0.16467624653709945,0.02040980069658929,-0.15415384615384617,-0.17661794871794873,-0.1322,2000,20260812,10
clean_retention,profile_1,cssl_amc_supervised_adaptation,CSSL,1025,-0.09829544353676561,-0.11762008310429671,-0.0797653849474032,0.013985404615373327,-0.03970731707317067,-0.058834146341463424,-0.0212658536585366,2000,20260812,10
clean_retention,profile_1,a0_backbone,A0,1025,0.03261785378233882,0.02298434729722168,0.04302636185525719,0.006323425346260813,0.036585365853658555,0.024292682926829273,0.048690243902438986,2000,20260812,10
clean_retention,profile_1,iqformer_inspired,IQFormer,1025,-0.18749901119178647,-0.20595656254846656,-0.16816160603527586,0.01179624942660477,-0.14565853658536576,-0.16390243902439022,-0.127119512195122,2000,20260812,10
clean_retention,profile_2,cssl_amc_supervised_adaptation,CSSL,1040,-0.0937552324963741,-0.11207271580667945,-0.07466501589636303,0.015581987181267744,-0.03634615384615385,-0.05528846153846154,-0.01663221153846155,2000,20260812,10
clean_retention,profile_2,a0_backbone,A0,1040,0.029626502136757733,0.01884746572869008,0.041062398699113975,0.013537723808978016,0.03855769230769233,0.024711538461538465,0.05192548076923076,2000,20260812,10
clean_retention,profile_2,iqformer_inspired,IQFormer,1040,-0.18838939362324408,-0.2076835702131585,-0.16813319824272827,0.01663014746233947,-0.1514423076923077,-0.17269471153846155,-0.12980528846153847,2000,20260812,10
clean_retention,profile_3,cssl_amc_supervised_adaptation,CSSL,943,-0.09392587664409216,-0.11326187096567103,-0.07426174734366443,0.012877827604241896,-0.04008483563096499,-0.06055673382820783,-0.019506892895015934,2000,20260812,10
clean_retention,profile_3,a0_backbone,A0,943,0.021675616398989184,0.011665783604080522,0.03223661586898627,0.0097506854884437,0.027677624602332973,0.015373806998939556,0.04019618239660654,2000,20260812,10
clean_retention,profile_3,iqformer_inspired,IQFormer,943,-0.20060371767196622,-0.21948452755349326,-0.18171969012264808,0.01376986761323361,-0.16511134676564154,-0.18600212089077411,-0.1457051961823966,2000,20260812,10
clean_retention,profile_4,cssl_amc_supervised_adaptation,CSSL,1017,-0.10408633794880914,-0.1228661835082499,-0.08632761680326913,0.014273379808220743,-0.0542772861356932,-0.07414945919370698,-0.034316617502458215,2000,20260812,10
clean_retention,profile_4,a0_backbone,A0,1017,0.030364791390823438,0.019970037925404863,0.04026170103801263,0.009615417541605779,0.03441494591937071,0.020845624385447393,0.0471017699115044,2000,20260812,10
clean_retention,profile_4,iqformer_inspired,IQFormer,1017,-0.19219513598781007,-0.21078139430672466,-0.17335417848875467,0.014971436637841468,-0.16027531956735497,-0.1807276302851524,-0.1407055063913471,2000,20260812,10
