jammer_family,row_count,occupancy_mean,gain_vs_a0,gain_vs_a0_ci_low,gain_vs_a0_ci_high,analysis
tone,842,0.3354809582233429,0.028943212110603255,0.011979527712953044,0.046932389639103844,jammer_family
multitone,814,0.3351384997367859,0.05273350614114708,0.03305012613734649,0.07077552985422476,jammer_family
chirp,800,0.354777455329895,0.03418131548494432,0.020366726967689725,0.04950926172577438,jammer_family
sweep,865,0.34749361872673035,0.04808888095890884,0.030878963662102143,0.06679705484269667,jammer_family
partial_band,854,0.36117079854011536,0.038331094322391096,0.01982601087836925,0.05776294333193051,jammer_family
comb,825,0.3200357258319855,0.07743526271200289,0.05774453242365495,0.09697464664213468,jammer_family
