scope,model,macro_f1,macro_f1_seed_std
s5_severe_r1,iqzero,0.2060202646798865,0.014580894379754001
s5_severe_r1,A5,0.21104748352935757,0.014857647957685871
s5_severe_r1,sidecar_full,0.2635035760124175,0.016973813252141496
s5_severe_r2,iqzero,0.19758328469559389,0.012395113214171305
s5_severe_r2,A5,0.20331313557900993,0.01717781922620985
s5_severe_r2,sidecar_full,0.2586796378479743,0.018595215350138757
pooled,iqzero,0.20180177468774022,0.013216554656110345
pooled,A5,0.20718030955418376,0.015905218632781336
pooled,sidecar_full,0.26109160693019595,0.01769193316015774
