regime,snr_db,sir_db,row_count,reference,reference_short,a5_macro_f1,macro_f1_difference,macro_f1_ci95_low,macro_f1_ci95_high,macro_f1_seed_std,accuracy_difference,accuracy_ci95_low,accuracy_ci95_high,bootstrap_draws,bootstrap_seed,algorithm_seed_count
hard_interference,-10.0,-15.0,181,mcldnn_reimplementation,MCLDNN,0.1489042417991392,0.0882548170474102,0.0504668652906928,0.1214915621776881,0.026211034873882,0.0773480662983425,0.0370027624309392,0.1177071823204419,800,20260812,10
hard_interference,-10.0,-15.0,181,iqformer_inspired,IQFormer,0.1489042417991392,0.0735481417153955,0.0389727646125277,0.1080059334569665,0.0278149501767851,0.0734806629834254,0.0331491712707182,0.1149309392265193,800,20260812,10
hard_interference,-10.0,-15.0,181,cssl_amc_supervised_adaptation,CSSL,0.1489042417991392,0.050781368836784,0.0140047385863996,0.085672574248341,0.0197680037889751,0.0685082872928176,0.0281767955801104,0.1066298342541436,800,20260812,10
hard_interference,-10.0,-15.0,181,a0_backbone,A0,0.1489042417991392,0.0135050706016991,-0.0173495215048079,0.0496013206888382,0.0234202416479642,0.0127071823204419,-0.0226519337016574,0.0519337016574585,800,20260812,10
hard_interference,-10.0,-10.0,158,mcldnn_reimplementation,MCLDNN,0.1809867630520042,0.0411437583005929,-9.529194906648558e-05,0.081753846588049,0.026076261247641,0.0329113924050632,-0.0107911392405063,0.0784968354430379,800,20260812,10
hard_interference,-10.0,-10.0,158,iqformer_inspired,IQFormer,0.1809867630520042,-0.0057733893604346,-0.0512293879249774,0.0381208606327635,0.0296098742378536,-0.0132911392405063,-0.060759493670886,0.0341930379746835,800,20260812,10
hard_interference,-10.0,-10.0,158,cssl_amc_supervised_adaptation,CSSL,0.1809867630520042,0.0524569130846704,0.0060952845126176,0.0963564669976252,0.0328717297882252,0.0626582278481012,0.0126424050632911,0.1101424050632911,800,20260812,10
hard_interference,-10.0,-10.0,158,a0_backbone,A0,0.1809867630520042,0.0090699358955398,-0.0282299121255338,0.0497915083175768,0.0360048666179775,0.0145569620253164,-0.0253164556962025,0.0538132911392404,800,20260812,10
hard_interference,-10.0,-5.0,179,mcldnn_reimplementation,MCLDNN,0.1560347725353214,-0.0253699738817336,-0.062385064782751,0.0151924404332507,0.0213625988440232,-0.0162011173184357,-0.0547625698324022,0.0318435754189944,800,20260812,10
hard_interference,-10.0,-5.0,179,iqformer_inspired,IQFormer,0.1560347725353214,-0.0499339477279718,-0.0898483680093666,-0.0078472900833721,0.0199201537139067,-0.0508379888268156,-0.0938547486033519,-0.0078072625698324,800,20260812,10
hard_interference,-10.0,-5.0,179,cssl_amc_supervised_adaptation,CSSL,0.1560347725353214,0.0264166728793812,-0.0129721809957385,0.0671130311006818,0.0215807137175484,0.0553072625698323,0.0089385474860335,0.1016759776536312,800,20260812,10
hard_interference,-10.0,-5.0,179,a0_backbone,A0,0.1560347725353214,0.0001470026086681,-0.0356994432770056,0.0355321259283804,0.0311291165131195,0.0100558659217877,-0.0284916201117318,0.0486173184357541,800,20260812,10
