split,sir_db,quartile,snr_db_mean,occupancy_mean,row_count,f1_a5,f1_iqformer
unseen_jammer,-10.0,0,3.8016529083251953,0.008727889508008957,242,0.47245949785201724,0.6716089919250668
unseen_jammer,-10.0,1,4.27419376373291,0.09595577418804169,248,0.1929894641008647,0.27064784258598734
unseen_jammer,-10.0,2,4.05042028427124,0.1528322845697403,238,0.11873845551945032,0.1950717636604427
unseen_jammer,-10.0,3,4.180392265319824,0.6950716972351074,255,0.29300695931374837,0.44832599036712306
unseen_jammer,-5.0,0,3.17391300201416,0.007778784725815058,276,0.4724797474277353,0.663764580724732
unseen_jammer,-5.0,1,4.554621696472168,0.0985495075583458,238,0.33364113765922904,0.4690877711321832
unseen_jammer,-5.0,2,4.3307085037231445,0.15286292135715485,254,0.26517296719622296,0.4018729306710038
unseen_jammer,-5.0,3,3.911646604537964,0.7157866358757019,249,0.4180797632632136,0.5871038029065389
unseen_jammer,0.0,0,4.0,0.009017416276037693,254,0.4809353603582441,0.6953216468462188
unseen_jammer,0.0,1,5.527426242828369,0.09653346985578537,237,0.46415973167303193,0.5985698947898346
unseen_jammer,0.0,2,4.127999782562256,0.15261727571487427,250,0.4305656975240081,0.6031030243725831
unseen_jammer,0.0,3,3.819672107696533,0.7043173313140869,244,0.4552202608759207,0.6210670488658454
unseen_jammer,5.0,0,4.562770366668701,0.007420635782182217,231,0.5568985219771482,0.6961720114435506
unseen_jammer,5.0,1,3.7364342212677,0.094664566218853,258,0.5127290787885416,0.6802098698182311
unseen_jammer,5.0,2,4.007843017578125,0.15213464200496674,255,0.45763753595996104,0.6273442969918404
unseen_jammer,5.0,3,3.8515284061431885,0.6751642227172852,229,0.5209658526986984,0.6432288185748735
unseen_jammer,10.0,0,4.056680202484131,0.007697196211665869,247,0.5249117482159529,0.7131324969214633
unseen_jammer,10.0,1,4.587360382080078,0.09323732554912567,269,0.5113231375465175,0.7131421898903242
unseen_jammer,10.0,2,4.687747001647949,0.15401005744934082,253,0.455220101310777,0.6710770897503119
unseen_jammer,10.0,3,4.227106094360352,0.6853682398796082,273,0.483646264528903,0.661156881192767
unseen_speed,-10.0,0,4.358565807342529,9.150242590294511e-07,251,0.5165869011592871,0.6488389481873819
unseen_speed,-10.0,1,4.262948036193848,0.1354971081018448,251,0.48227697612154613,0.5939177521073317
unseen_speed,-10.0,2,2.97478985786438,0.3916289508342743,238,0.41760867792485357,0.4396490556105352
unseen_speed,-10.0,3,3.8339920043945312,0.8073506355285645,253,0.3746972902314025,0.33658563059024305
unseen_speed,-5.0,0,3.5094339847564697,6.544016173393175e-07,265,0.503237723206112,0.6547122849592208
unseen_speed,-5.0,1,4.777292728424072,0.14068831503391266,229,0.503214980898631,0.6277945090165928
unseen_speed,-5.0,2,2.909747362136841,0.3931325078010559,277,0.4432130260285505,0.4919155209065125
unseen_speed,-5.0,3,4.447999954223633,0.8187494277954102,250,0.38914029005303685,0.40548022327120464
unseen_speed,0.0,0,3.8339920043945312,6.647508712376293e-07,253,0.5138691443865373,0.6963695293307124
unseen_speed,0.0,1,4.30258321762085,0.13969743251800537,271,0.5039065665485433,0.6684071302651488
unseen_speed,0.0,2,4.087719440460205,0.39208775758743286,228,0.46532629721213936,0.6263844068265234
unseen_speed,0.0,3,4.163934230804443,0.811474084854126,244,0.45986746373598575,0.5204171083070006
unseen_speed,5.0,0,3.0578513145446777,1.1826550689875148e-06,242,0.48296680190217234,0.6931227993043748
unseen_speed,5.0,1,3.3700788021087646,0.12591207027435303,254,0.5162902129923483,0.7074796321355311
unseen_speed,5.0,2,3.3384616374969482,0.3949986398220062,260,0.5128282930872375,0.6615972963972211
unseen_speed,5.0,3,3.5193798542022705,0.8095350861549377,258,0.46885104300973446,0.5631202476901472
unseen_speed,10.0,0,4.3430962562561035,1.8602996760819224e-06,239,0.5331009195802336,0.7083738879648742
unseen_speed,10.0,1,4.3183674812316895,0.1308998316526413,245,0.5099369071518904,0.7122300229549811
unseen_speed,10.0,2,4.947368621826172,0.3909398019313812,247,0.5482211028532195,0.700744616456479
unseen_speed,10.0,3,4.122448921203613,0.7991576194763184,245,0.47749469709902426,0.6420001607208682
heldout_channel,-10.0,0,4.27642297744751,1.1186698429810349e-06,246,0.5320457252995526,0.7001012753338782
heldout_channel,-10.0,1,4.4285712242126465,0.13857097923755646,252,0.4816709105820266,0.5706857452606986
heldout_channel,-10.0,2,4.007905006408691,0.40962454676628113,253,0.4403014281532031,0.4441251972586616
heldout_channel,-10.0,3,3.8181817531585693,0.833103597164154,253,0.36719181415261726,0.3172571371087388
heldout_channel,-5.0,0,3.646090507507324,7.220389193207666e-07,243,0.49675836153842823,0.6233384166010218
heldout_channel,-5.0,1,4.5542168617248535,0.14766618609428406,249,0.49331138190399065,0.6416818193885517
heldout_channel,-5.0,2,3.5058822631835938,0.4072791635990143,255,0.39777265593729977,0.43478631935515566
heldout_channel,-5.0,3,3.7204301357269287,0.8427206873893738,279,0.3913080702139682,0.3706718998429891
heldout_channel,0.0,0,3.312252998352051,9.793346862352337e-07,253,0.47631850898990225,0.6491583004558393
heldout_channel,0.0,1,4.722689151763916,0.1359841227531433,238,0.46059791343595285,0.6162445907927132
heldout_channel,0.0,2,4.308300495147705,0.40088534355163574,253,0.48817254704068536,0.619028227966935
heldout_channel,0.0,3,3.5185184478759766,0.8183913826942444,216,0.44870282084746027,0.4817463309367797
heldout_channel,5.0,0,2.9880478382110596,4.211174768897763e-07,251,0.4940446132495451,0.6702908972627986
heldout_channel,5.0,1,4.16417932510376,0.14427444338798523,268,0.5184311636721938,0.6687139980569591
heldout_channel,5.0,2,4.1724138259887695,0.40506041049957275,232,0.5032770459180573,0.6615225165915423
heldout_channel,5.0,3,4.096774101257324,0.8300572633743286,248,0.4925096252657277,0.630913533871926
heldout_channel,10.0,0,3.2918288707733154,9.132052696259052e-07,257,0.5308451620120126,0.6939689353650293
heldout_channel,10.0,1,3.563786029815674,0.14360857009887695,243,0.5263562908646467,0.6805975163790273
heldout_channel,10.0,2,3.7431907653808594,0.3963271975517273,257,0.5156825645405891,0.681774525452982
heldout_channel,10.0,3,4.157480239868164,0.824343204498291,254,0.5011171771936531,0.6626872890991633
combined_ood,-10.0,0,4.479338645935059,0.007538403384387493,242,0.4747597931701856,0.6763868599842114
combined_ood,-10.0,1,3.734375,0.0974707156419754,256,0.21134847760589018,0.2975280606014118
combined_ood,-10.0,2,3.375999927520752,0.15306413173675537,250,0.09240593588443954,0.18336901701477487
combined_ood,-10.0,3,4.234817981719971,0.7063188552856445,247,0.33392978310073895,0.46484834761815685
combined_ood,-5.0,0,4.738461494445801,0.007503584027290344,260,0.4766861879670393,0.672517584659817
combined_ood,-5.0,1,4.0,0.09842167049646378,252,0.3925371077109092,0.5175621058244304
combined_ood,-5.0,2,4.084941864013672,0.15215817093849182,259,0.2651806201967479,0.3660390166282286
combined_ood,-5.0,3,3.3064515590667725,0.714368999004364,248,0.4124713649122005,0.5707597784204964
combined_ood,0.0,0,3.654618501663208,0.007968896999955177,249,0.4872664390956456,0.6769790159778946
combined_ood,0.0,1,3.3384616374969482,0.09926582872867584,260,0.42568411631719316,0.6558819133887935
combined_ood,0.0,2,4.0,0.15233419835567474,250,0.4361249397640348,0.584211354068646
combined_ood,0.0,3,3.1225297451019287,0.683147668838501,253,0.4755167981314704,0.5984850400031428
combined_ood,5.0,0,3.781376600265503,0.0076272012665867805,247,0.5077128374976829,0.7135595635319983
combined_ood,5.0,1,3.991701126098633,0.09955613315105438,241,0.5060897027084206,0.6544166071963504
combined_ood,5.0,2,3.130044937133789,0.15344737470149994,223,0.433904245068899,0.6327325790912897
combined_ood,5.0,3,4.192592620849609,0.6749234795570374,270,0.48110197692884704,0.6709541883678567
combined_ood,10.0,0,3.0158729553222656,0.007299841847270727,252,0.518093347945815,0.6891847397659456
combined_ood,10.0,1,3.9751036167144775,0.09715275466442108,241,0.42723195995796076,0.6327828364415157
combined_ood,10.0,2,4.089552402496338,0.1524384766817093,268,0.4653748320978532,0.6430387163283531
combined_ood,10.0,3,4.155172348022461,0.6935392022132874,232,0.4846885564864234,0.7006073080265938
