reference,predictor,cells,rmse_pp,mae_pp,sign_accuracy
IQFormer,constant,64,8.11365938934574,7.069882427490218,0.515625
IQFormer,sir_only,64,9.048345654390292,6.960625174618842,0.484375
IQFormer,overlap_sir,64,9.754325908864946,7.068657032666064,0.578125
MCLDNN,constant,64,15.413113953018359,11.703217328322193,0.78125
MCLDNN,sir_only,64,22.28725428890352,17.94580554237402,0.21875
MCLDNN,overlap_sir,64,22.563788536505427,16.32991541446117,0.40625
