split,sir_db,snr_db_mean,occupancy_mean,row_count,gain_vs_IQFormer,gain_vs_MCLDNN,gain_vs_CSSL,gain_vs_A0
id_test,-10.0,5.089430809020996,0.01906723715364933,246,-0.1780726943837702,-0.14746220884353206,-0.064061520437697,0.04037359605788064
id_test,-10.0,3.746938705444336,0.3128580152988434,245,-0.06320253567785072,-0.03511614577736293,0.10380159677090403,0.09138337804111667
id_test,-10.0,3.220588207244873,0.7757254838943481,272,0.03824301192187668,0.14920432904058117,0.2173612313106132,0.06877691220372538
id_test,-5.0,4.102190017700195,0.015695087611675262,274,-0.16938750887719337,-0.13323521378336478,-0.06596430159157435,0.05737027296579916
id_test,-5.0,5.015625,0.322329044342041,256,-0.1045149490776481,-0.06759354600980419,0.04929532870463377,0.05891549320860038
id_test,-5.0,5.65217399597168,0.7570384740829468,230,0.02568593801256046,0.07320040508178347,0.21102987577064022,0.044480839180245486
id_test,0.0,4.055080890655518,1.016501813277948e-11,1053,-0.04118603129238966,-0.027363500552221892,0.17551477071692942,0.023813773374253805
id_test,0.0,3.203252077102661,0.01834075152873993,246,-0.21675406558370974,-0.15130424229361852,-0.06215935169347726,0.02781384988839757
id_test,0.0,3.254237174987793,0.3103799521923065,236,-0.1913914628987846,-0.16532774143892268,-0.01105132669849725,0.026806300823563656
id_test,0.0,3.4871795177459717,0.759030282497406,234,-0.07487612526389181,-0.021830041789393823,0.15061633172782626,0.04350829182521261
id_test,5.0,4.6885247230529785,0.01643759198486805,244,-0.21642574642780646,-0.1460745803948582,-0.07411248868618965,0.034932667967213296
id_test,5.0,4.940298557281494,0.3283070921897888,268,-0.20595209117632027,-0.12325308339393726,-0.017753688772183897,0.04515584602477696
id_test,5.0,4.901098728179932,0.7713575959205627,273,-0.13369223247691855,-0.09596097238201964,0.025290512076435505,0.06691811325020972
id_test,10.0,3.549999952316284,0.016979070380330086,240,-0.19237519152462493,-0.1462930549152103,-0.07244665389004343,0.03806601968445558
id_test,10.0,3.844897985458374,0.31736359000205994,245,-0.17203387780606413,-0.13369815582021238,-0.06129615837864879,0.04615947006325274
id_test,10.0,4.390041351318359,0.7466716766357422,241,-0.17221034463936316,-0.14536210765108082,-0.09046407452211477,0.051674010230555734
hard_interference,-15.0,4.108108043670654,1.5820710359548684e-06,296,0.07474528491602758,0.0453191541451413,-0.058316412506330975,0.023630031945623287
hard_interference,-15.0,3.8289473056793213,0.14595362544059753,304,0.10430657375148675,0.07094349867111124,0.0666040667363809,0.04916089612592623
hard_interference,-15.0,3.165048599243164,0.3991895616054535,309,0.1233945019466131,0.08974394601217525,0.07852966701623447,0.05950598210459827
hard_interference,-15.0,3.8867924213409424,0.8326082825660706,318,0.11110671256527464,0.1628522040048275,0.1804898594050337,0.03367098687465596
hard_interference,-10.0,3.454545497894287,1.1110095101685147e-06,308,-0.13223834279699748,-0.11791053012661981,-0.06304892588974781,0.03411928686835812
hard_interference,-10.0,4.0,0.13422320783138275,298,-0.08619191878094998,-0.08200250185965462,0.02896559789783839,0.03496923422199331
hard_interference,-10.0,3.152317762374878,0.39452436566352844,302,-0.007999047646372081,0.021540873341061313,0.10056804723034389,0.08695509952544303
hard_interference,-10.0,3.9036145210266113,0.8418202996253967,332,0.05477014561179187,0.168345722393027,0.2485800236587211,0.07081391125273176
hard_interference,-5.0,4.294871807098389,1.4937646710677654e-06,312,-0.15576235777861464,-0.10520132956232717,-0.07575972362705405,0.04409918494409449
