reference,predictor,fit_cells,test_cells,rmse_pp,mae_pp,sign_accuracy
IQFormer,constant,28,4,21.338931334447587,21.263754880657356,0.0
IQFormer,sir_only,28,4,12.151031864653579,12.018521394257997,0.0
IQFormer,overlap_sir,28,4,12.691265099610098,12.005053941982915,0.25
MCLDNN,constant,28,4,16.42709129280863,15.834480849763278,0.0
MCLDNN,sir_only,28,4,7.867737115390998,6.540851837196127,1.0
MCLDNN,overlap_sir,28,4,6.843236356891172,6.523984130237262,0.5
