regime,stratum_type,stratum,candidate,reference,reference_short,row_count,macro_f1_difference,macro_f1_ci95_low,macro_f1_ci95_high,macro_f1_seed_std,accuracy_difference,accuracy_ci95_low,accuracy_ci95_high,bootstrap_draws,bootstrap_seed,algorithm_seed_count
combined_ood,jammer_family,pulse,a5_vimd_full,a0_backbone,A0,2519,0.044911986792296,0.0289865614946204,0.0589626549048689,0.0199388887534508,0.0418420007939658,0.0279456133386264,0.0545265978562921,1500,20260812,10
combined_ood,jammer_family,pulse,a5_vimd_full,cssl_amc_supervised_adaptation,CSSL,2519,-0.0493252883530508,-0.0639942242738534,-0.0348610362059106,0.011834679001307,-0.0334259626836046,-0.0471843985708614,-0.0195901151250496,1500,20260812,10
combined_ood,jammer_family,pulse,a5_vimd_full,iqformer_inspired,IQFormer,2519,-0.1753140656972131,-0.1919052979450941,-0.159142856230237,0.0187368846961375,-0.16732830488289,-0.1834666534339023,-0.1520801905518062,1500,20260812,10
combined_ood,jammer_family,ofdm_like,a5_vimd_full,a0_backbone,A0,2481,0.0267154444301249,0.0124099912172413,0.0399563948970831,0.0188693850569502,0.0196694881096332,0.0088865376864167,0.0298286981056025,1500,20260812,10
combined_ood,jammer_family,ofdm_like,a5_vimd_full,cssl_amc_supervised_adaptation,CSSL,2481,-0.038284925739906,-0.0528195102949213,-0.0238009889633095,0.0126650146118377,-0.0334542523176138,-0.0471604191858121,-0.0197652156388553,1500,20260812,10
combined_ood,jammer_family,ofdm_like,a5_vimd_full,iqformer_inspired,IQFormer,2481,-0.1483491362602366,-0.1667390638771785,-0.1312679250765727,0.0209513233410176,-0.1515517936316001,-0.1678567110036275,-0.1369205965336558,1500,20260812,10
combined_ood,target_profile_index,1,a5_vimd_full,a0_backbone,A0,2461,0.0387287445293601,0.0248340885286344,0.0531641575684832,0.0188240268021588,0.0330353514831369,0.0207019504266558,0.0448425436814303,1500,20260812,10
combined_ood,target_profile_index,1,a5_vimd_full,cssl_amc_supervised_adaptation,CSSL,2461,-0.0398563875113234,-0.0563259934444423,-0.0247197003634812,0.0143267204483695,-0.031938236489232,-0.0474004469727753,-0.0177275497765136,1500,20260812,10
combined_ood,target_profile_index,1,a5_vimd_full,iqformer_inspired,IQFormer,2461,-0.1726839925497356,-0.1904149758427834,-0.1547895105532225,0.0211681169879996,-0.1698090207232832,-0.1871017878911011,-0.1528240552620886,1500,20260812,10
combined_ood,target_profile_index,4,a5_vimd_full,a0_backbone,A0,2539,0.0351411895398712,0.0214394626206207,0.0484663772799373,0.0166130553990734,0.0287120913745569,0.0185112248916896,0.0395076801890507,1500,20260812,10
combined_ood,target_profile_index,4,a5_vimd_full,cssl_amc_supervised_adaptation,CSSL,2539,-0.0426500998914717,-0.057289946043608,-0.0272658549457495,0.0126094161509243,-0.0348956282000787,-0.0485831035840882,-0.0207709728239464,1500,20260812,10
combined_ood,target_profile_index,4,a5_vimd_full,iqformer_inspired,IQFormer,2539,-0.1515801130911621,-0.1668769430232029,-0.1358898530978287,0.0171065034355241,-0.1495076801890507,-0.1635909807010634,-0.1347774714454509,1500,20260812,10
combined_ood,speed_kmh,180,a5_vimd_full,a0_backbone,A0,2495,0.0403341399363526,0.0287203959857611,0.0536082732489548,0.0160930750315115,0.0333466933867735,0.0232044088176352,0.0436683366733466,1500,20260812,10
combined_ood,speed_kmh,180,a5_vimd_full,cssl_amc_supervised_adaptation,CSSL,2495,-0.0355455170540396,-0.0501529738967802,-0.0199846757738124,0.0133671416944285,-0.0290581162324649,-0.0427464929859719,-0.0143276553106212,1500,20260812,10
combined_ood,speed_kmh,180,a5_vimd_full,iqformer_inspired,IQFormer,2495,-0.1569363692702486,-0.1732400665159249,-0.1387905947633279,0.0204450832861187,-0.1559118236472945,-0.1707434869739479,-0.1401182364729458,1500,20260812,10
combined_ood,speed_kmh,250,a5_vimd_full,a0_backbone,A0,2505,0.0335551440316429,0.0198512908021574,0.0482881072697884,0.018861769433223,0.0283433133732535,0.0164660678642714,0.0402205588822355,1500,20260812,10
combined_ood,speed_kmh,250,a5_vimd_full,cssl_amc_supervised_adaptation,CSSL,2505,-0.0465700351771986,-0.0609189645276696,-0.0316221129242232,0.0113209249995974,-0.0378043912175648,-0.0511397205588822,-0.0231117764471057,1500,20260812,10
combined_ood,speed_kmh,250,a5_vimd_full,iqformer_inspired,IQFormer,2505,-0.1669942999657657,-0.1827250223756291,-0.1507790326494607,0.0177056440355471,-0.1630738522954091,-0.178064870259481,-0.1477425149700598,1500,20260812,10
combined_ood,occupancy_quartile,"Q1 [0.000,0.032]",a5_vimd_full,a0_backbone,A0,1250,0.038373232034309,0.0202769143324835,0.0556652309043946,0.0222627892849285,0.0366399999999999,0.019276,0.0526859999999999,1500,20260812,10
combined_ood,occupancy_quartile,"Q1 [0.000,0.032]",a5_vimd_full,cssl_amc_supervised_adaptation,CSSL,1250,-0.0703444279200882,-0.0908288386110395,-0.0492508874684197,0.0158853647514097,-0.04992,-0.069646,-0.029558,1500,20260812,10
combined_ood,occupancy_quartile,"Q1 [0.000,0.032]",a5_vimd_full,iqformer_inspired,IQFormer,1250,-0.1915228482422704,-0.2125574656454291,-0.1693211396711453,0.0219198522076636,-0.18176,-0.2018019999999999,-0.1604,1500,20260812,10
combined_ood,occupancy_quartile,"Q2 [0.032,0.135]",a5_vimd_full,a0_backbone,A0,1250,0.0299086041248786,0.011507390657823,0.0471131844556203,0.0212018805391426,0.02232,0.007756,0.0360539999999999,1500,20260812,10
combined_ood,occupancy_quartile,"Q2 [0.032,0.135]",a5_vimd_full,cssl_amc_supervised_adaptation,CSSL,1250,-0.0393403920983301,-0.063657914230344,-0.0170577812929772,0.0238187980796777,-0.0432799999999999,-0.063806,-0.024118,1500,20260812,10
