reference,quartile_rank,occupancy_mean,observed_gain_pp,predicted_gain_pp
IQFormer,0,1.5820710359548684e-06,7.47452849160275,-7.1525381719465955
IQFormer,1,0.1459536254405975,10.430657375148671,-4.8277616478200756
IQFormer,2,0.3991895616054535,12.33945019466131,-0.7941287786276632
IQFormer,3,0.8326082825660706,11.11067125652746,6.109520148402864
MCLDNN,0,1.5820710359548684e-06,4.53191541451413,-4.174005811933002
MCLDNN,1,0.1459536254405975,7.09434986711112,-1.2622710344285664
MCLDNN,2,0.3991895616054535,8.97439460121752,3.789771165337445
MCLDNN,3,0.8326082825660706,16.28522040048275,12.4364494434006
