reference,fit_cells,intercept_pp,overlap_coefficient_pp,sir_coefficient_pp_per_db,break_even_overlap_sir_minus15,break_even_overlap_sir_minus10,held_rmse_pp,fit_domain_constant_rmse_pp,r_squared_skill,oracle_constant_rmse_pp
IQFormer,32,-17.076554740158684,14.37567417374658,-1.0355802547536515,0.10732372619237075,0.4675086616039108,6.230341912558914,8.368064220308474,0.44566314625239034,6.0442136783192675
IQFormer,31,-18.154058441329088,15.90320002088517,-1.0663675337731104,0.13573025755179347,0.47099848418941476,6.4167852898205755,8.276082227647015,0.39884644251401224,6.0442136783192675
MCLDNN,32,-14.551350748328218,19.160727594914174,-0.8938043943128082,0.05972032262176838,0.2929589587553071,8.101174991763637,9.634736423162218,0.29300498701219857,6.808797545016293
MCLDNN,31,-15.533813668266744,20.553518638166487,-0.9218760937506482,0.08298687402553565,0.30724922782971276,8.19844718790394,9.591530246700747,0.2693869831634481,6.808797545016293
