reference,point_delta_mse_pp2,mean_delta_mse_pp2,median_delta_mse_pp2,ci_low_pp2,ci_high_pp2,prob_delta_mse_positive,rmse_sir_only_pp,rmse_overlap_sir_pp,rmse_reduction_pp
IQFormer,7.953900539372294,7.9743035412955825,7.928300824767782,-2.062861296903193,18.184712638468522,0.9352,6.83893711674267,6.230341912558914,0.6085952041837563
MCLDNN,10.187053927331192,10.176251379139611,10.09884574413107,-8.294914459237273,29.837481147088223,0.8476,8.707243546295679,8.101174991763637,0.6060685545320421
