regime,model,model_short,macro_f1_mean,macro_f1_std,parameters,macs,latency_ms_p50,latency_ms_p95,state_dict_megabytes,macro_f1_per_kparameter,macro_f1_per_mmac,pareto_optimal_parameters,pareto_optimal_macs,pareto_optimal_latency_ms_p50
hard_interference,a0_backbone,A0,0.3948859471586475,0.0073530680749234,8458.0,6275424.0,0.7289500063052401,0.8026250041439197,0.04085826873779297,0.04668786322518887,0.06292577954233013,True,True,True
hard_interference,a1_single_mask,a1_single_mask,0.4306670333947637,0.0078857109561052,24555.0,35329376.0,1.8480500002624467,2.0187449874356385,0.11079692840576172,0.01753887328017771,0.012190054910530082,True,True,True
hard_interference,a2_tri_no_teacher,a2_tri_no_teacher,0.4372944050374845,0.0114716094278029,39500.0,41798528.0,3.226500004529953,3.395190001174342,0.18039894104003906,0.011070744431328721,0.010461957058331924,False,False,False
hard_interference,a3_tri_teacher,A3,0.4379250367438468,0.0119654218118811,39500.0,41798528.0,3.151499986415729,3.24728001432959,0.18039894104003906,0.011086709790983463,0.010477044472567235,False,False,True
hard_interference,a3p_tri_proportional_teacher,A3p,0.4363340477413957,0.0145974939221198,39500.0,41798528.0,3.2885500113479793,3.4294899785891175,0.18039894104003906,0.011046431588389765,0.010438981194299372,False,False,False
hard_interference,a4_tri_teacher_mtl,a4_tri_teacher_mtl,0.4381960938788848,0.0097744261800121,39500.0,41798528.0,3.236500022467226,3.4042149753076956,0.18039894104003906,0.011093571996933792,0.010483529321388659,False,False,False
hard_interference,a5_vimd_full,A5-VIMD,0.4405965748238681,0.0081832802493551,39500.0,41798528.0,3.1720499973744154,3.2669599895598367,0.18039894104003906,0.011154343666427041,0.01054095911760022,False,False,True
hard_interference,a6_dual_full,A6,0.4361524959830766,0.0058200792062893,39442.0,41704800.0,3.1669000163674355,3.3098549931310117,0.1796112060546875,0.011058072511106855,0.010458088660851426,True,True,False
hard_interference,a7_vimd_no_residual,A7,0.4427121715120873,0.0117861467204808,39500.0,41798528.0,3.2354500144720078,3.3911449660081416,0.18039894104003906,0.011207903076255375,0.010591573260955202,True,True,True
hard_interference,cssl_amc_supervised_adaptation,CSSL,0.3914900666634787,0.0070941688388973,8631948.0,155329152.0,0.7864499930292368,0.8419099438469857,32.9439582824707,4.5353617360007114e-05,0.0025203901625850548,False,False,False
hard_interference,iqformer_inspired,IQFormer,0.4872224105487034,0.0216975523776004,354984.0,355574400.0,4.180499992799014,4.334785009268671,1.4190893173217773,0.0013725193545306364,0.0013702404069266612,True,True,True
