regime,snr_db,sir_db,row_count,reference,reference_short,a5_macro_f1,macro_f1_difference,macro_f1_ci95_low,macro_f1_ci95_high,macro_f1_seed_std,accuracy_difference,accuracy_ci95_low,accuracy_ci95_high,bootstrap_draws,bootstrap_seed,algorithm_seed_count,p_value_normal_approx,holm_adjusted_p,benjamini_hochberg_q,survives_holm_0_05
hard_interference,-10.0,-15.0,181,mcldnn_reimplementation,MCLDNN,0.1489042417991392,0.0882548170474102,0.0504668652906928,0.1214915621776881,0.026211034873882,0.0773480662983425,0.0370027624309392,0.1177071823204419,800,20260812,10,1.111042607067395e-06,5.7774215567504534e-05,5.469748219408714e-06,True
hard_interference,-10.0,-15.0,181,iqformer_inspired,IQFormer,0.1489042417991392,0.0735481417153955,0.0389727646125277,0.1080059334569665,0.0278149501767851,0.0734806629834254,0.0331491712707182,0.1149309392265193,800,20260812,10,2.9628529423102077e-05,0.0013629123534626955,9.98013622672912e-05,True
hard_interference,-10.0,-10.0,158,mcldnn_reimplementation,MCLDNN,0.1809867630520042,0.0411437583005929,-9.529194906648558e-05,0.081753846588049,0.026076261247641,0.0329113924050632,-0.0107911392405063,0.0784968354430379,800,20260812,10,0.04878551174568913,1.0,0.07805681879310261,False
hard_interference,-10.0,-10.0,158,iqformer_inspired,IQFormer,0.1809867630520042,-0.0057733893604346,-0.0512293879249774,0.0381208606327635,0.0296098742378536,-0.0132911392405063,-0.060759493670886,0.0341930379746835,800,20260812,10,0.8000463183271461,1.0,0.8423296150004671,False
hard_interference,-10.0,-5.0,179,mcldnn_reimplementation,MCLDNN,0.1560347725353214,-0.0253699738817336,-0.062385064782751,0.0151924404332507,0.0213625988440232,-0.0162011173184357,-0.0547625698324022,0.0318435754189944,800,20260812,10,0.1998692845099218,1.0,0.2780790045355434,False
hard_interference,-10.0,-5.0,179,iqformer_inspired,IQFormer,0.1560347725353214,-0.0499339477279718,-0.0898483680093666,-0.0078472900833721,0.0199201537139067,-0.0508379888268156,-0.0938547486033519,-0.0078072625698324,800,20260812,10,0.016985980312463185,0.4925934290614324,0.030197298333267883,False
hard_interference,-10.0,0.0,165,mcldnn_reimplementation,MCLDNN,0.2004852429755892,-0.0201946500778383,-0.0699101000114407,0.0296732278669892,0.0404644332458064,-0.0266666666666666,-0.0758484848484848,0.0248636363636363,800,20260812,10,0.42665539362989213,1.0,0.5319428221085557,False
hard_interference,-10.0,0.0,165,iqformer_inspired,IQFormer,0.2004852429755892,0.005743394740385,-0.0382125374876343,0.0519626002675326,0.0338724044706303,-0.0066666666666666,-0.0563939393939393,0.0448484848484848,800,20260812,10,0.8028454142973203,1.0,0.8423296150004671,False
hard_interference,-6.0,-15.0,156,mcldnn_reimplementation,MCLDNN,0.2187043281780983,0.1075273087574074,0.0607845800080366,0.1532967890599955,0.0327558290337735,0.0858974358974358,0.0371634615384615,0.1371794871794871,800,20260812,10,5.210025432509092e-06,0.0002552912461929455,2.084010173003637e-05,True
hard_interference,-6.0,-15.0,156,iqformer_inspired,IQFormer,0.2187043281780983,0.1185405899401713,0.0698931130345529,0.1649808383604493,0.0364771547879088,0.107051282051282,0.0557692307692307,0.1577083333333333,800,20260812,10,1.0251065061956109e-06,5.4330644828367375e-05,5.467234699709924e-06,True
hard_interference,-6.0,-10.0,170,mcldnn_reimplementation,MCLDNN,0.2633343514564981,-0.0148419561563526,-0.0673038479510244,0.0378005571597406,0.0336845372299638,-0.0117647058823529,-0.0723529411764705,0.0447205882352941,800,20260812,10,0.5798943033287918,1.0,0.6747860984189576,False
hard_interference,-6.0,-10.0,170,iqformer_inspired,IQFormer,0.2633343514564981,-0.0095238054232854,-0.0627682792129278,0.0448502723716121,0.0433481533015167,-0.0223529411764705,-0.0858823529411764,0.0382647058823529,800,20260812,10,0.7286681500234216,1.0,0.8181537123069996,False
hard_interference,-6.0,-5.0,139,mcldnn_reimplementation,MCLDNN,0.2815096791835944,-0.0353445802103518,-0.0982544633102809,0.0251716877281558,0.0338586633555529,-0.0330935251798561,-0.0964028776978417,0.024478417266187,800,20260812,10,0.2616417993243395,1.0,0.3562781948246325,False
hard_interference,-6.0,-5.0,139,iqformer_inspired,IQFormer,0.2815096791835944,-0.0030795687134193,-0.0686702048214153,0.058591071369904,0.0449756382726996,-0.0035971223021582,-0.0690827338129496,0.0590107913669064,800,20260812,10,0.9244280073296431,1.0,0.939101467763447,False
hard_interference,-6.0,0.0,163,mcldnn_reimplementation,MCLDNN,0.3335410068631371,-0.0357901979374404,-0.0864722626385315,0.0159189573291269,0.0274105656658002,-0.0319018404907975,-0.0834509202453987,0.0196625766871165,800,20260812,10,0.17062889952027172,1.0,0.24818749021130432,False
hard_interference,-6.0,0.0,163,iqformer_inspired,IQFormer,0.3335410068631371,-0.088797109344573,-0.149777772433551,-0.0293284956252601,0.0370633033492259,-0.0797546012269938,-0.1355828220858895,-0.0239110429447852,800,20260812,10,0.0038544673082787505,0.13490635578975627,0.008222863590994669,False
hard_interference,-2.0,-15.0,131,mcldnn_reimplementation,MCLDNN,0.3729746348882271,0.1775934026917148,0.1237999399517913,0.2293024073783264,0.0325396976652707,0.2030534351145038,0.1434923664122137,0.2618511450381679,800,20260812,10,4.1546273292903926e-11,2.4927763975742356e-09,5.317922981491702e-10,True
hard_interference,-2.0,-15.0,131,iqformer_inspired,IQFormer,0.3729746348882271,0.1566152265949607,0.0945394526534187,0.2215342726304426,0.0736574394566665,0.2,0.1267175572519084,0.2671755725190839,800,20260812,10,1.3367127281987536e-06,6.817234913813644e-05,6.110686757480016e-06,True
hard_interference,-2.0,-10.0,168,mcldnn_reimplementation,MCLDNN,0.4519965046078643,0.0355641060937743,-0.0097185172922633,0.084586849759421,0.0254568989126595,0.0357142857142857,-0.013110119047619,0.0875,800,20260812,10,0.1393356934602575,1.0,0.20738335770829025,False
hard_interference,-2.0,-10.0,168,iqformer_inspired,IQFormer,0.4519965046078643,0.0284871001727858,-0.024380134662256,0.0851127667432883,0.0503014999267858,0.0369047619047619,-0.0184821428571428,0.0964285714285714,800,20260812,10,0.30779507393066097,1.0,0.40201805574616944,False
hard_interference,-2.0,-5.0,159,mcldnn_reimplementation,MCLDNN,0.4299585342760704,0.0075447088500949,-0.044732165716783,0.0564498273558361,0.0337425773176186,0.0132075471698113,-0.0396226415094339,0.0647798742138364,800,20260812,10,0.7700631607156836,1.0,0.8410954320993052,False
hard_interference,-2.0,-5.0,159,iqformer_inspired,IQFormer,0.4299585342760704,-0.0187927045141678,-0.0616626581639166,0.0263805961510809,0.0277325348440161,-0.0333333333333333,-0.078003144654088,0.0138679245283018,800,20260812,10,0.4027595732644831,1.0,0.5155322537785384,False
hard_interference,-2.0,0.0,171,mcldnn_reimplementation,MCLDNN,0.4480874841113863,-0.1076410653526314,-0.1573112508821883,-0.0578789414238866,0.0221657274023753,-0.0842105263157894,-0.1368421052631579,-0.0327485380116959,800,20260812,10,2.2001873026706603e-05,0.0010340880322552103,7.822888187273458e-05,False
hard_interference,-2.0,0.0,171,iqformer_inspired,IQFormer,0.4480874841113863,-0.1140335911746193,-0.1595925509350505,-0.0611657248463297,0.0366965410421153,-0.1058479532163743,-0.1538157894736842,-0.0514035087719298,800,20260812,10,5.586067300211965e-06,0.00026813123041017435,2.10299004243274e-05,False
hard_interference,2.0,-15.0,146,mcldnn_reimplementation,MCLDNN,0.4042173409944348,0.108871332688452,0.0592361018085128,0.1694566233077179,0.0478971178784056,0.1226027397260273,0.0664212328767123,0.1829280821917807,800,20260812,10,0.00010797036589908474,0.004534755367761559,0.0003004392790235401,True
hard_interference,2.0,-15.0,146,iqformer_inspired,IQFormer,0.4042173409944348,0.1169347039323713,0.0528092718997244,0.1875603779087688,0.0706425492891859,0.1315068493150684,0.0636986301369863,0.2013869863013698,800,20260812,10,0.0006698123176783107,0.025452868071775808,0.0015877032715337735,True
hard_interference,2.0,-10.0,151,mcldnn_reimplementation,MCLDNN,0.5150399562766511,0.020559429556011,-0.0560322461746136,0.0879166660698816,0.0385793592874802,0.0013245033112582,-0.0662417218543046,0.0629304635761589,800,20260812,10,0.5755737705487254,1.0,0.6747860984189576,False
hard_interference,2.0,-10.0,151,iqformer_inspired,IQFormer,0.5150399562766511,-0.0276586690062452,-0.0996548631059529,0.0383847749302841,0.0531502374117092,-0.0443708609271523,-0.1079470198675496,0.0165728476821191,800,20260812,10,0.4322035429632015,1.0,0.5319428221085557,False
hard_interference,2.0,-5.0,147,mcldnn_reimplementation,MCLDNN,0.5271907871730539,-0.037159060307786,-0.0922708435018422,0.0172153993674661,0.0427216870799446,-0.0319727891156462,-0.0945748299319727,0.0299829931972788,800,20260812,10,0.18338548160976542,1.0,0.26081490717833306,False
hard_interference,2.0,-5.0,147,iqformer_inspired,IQFormer,0.5271907871730539,-0.0815664846710033,-0.1418093437622758,-0.0320834351369374,0.0515694944819941,-0.0891156462585034,-0.1496598639455782,-0.0326360544217687,800,20260812,10,0.0035689815101501644,0.12848333436540593,0.007876372987917605,False
hard_interference,2.0,0.0,174,mcldnn_reimplementation,MCLDNN,0.5430921928432324,-0.1149909916177942,-0.1521412599164398,-0.0741020568882426,0.0264803237012464,-0.0977011494252873,-0.1413793103448276,-0.0505747126436781,800,20260812,10,7.648589695858786e-09,4.436182023598096e-07,6.992996293356604e-08,False
hard_interference,2.0,0.0,174,iqformer_inspired,IQFormer,0.5430921928432324,-0.1372446457826048,-0.1799345761264371,-0.0934091400528292,0.0225800671847201,-0.1229885057471264,-0.1666666666666666,-0.0775718390804597,800,20260812,10,5.044976710388036e-10,2.9765362591289413e-08,5.381308491080572e-09,False
hard_interference,6.0,-15.0,159,mcldnn_reimplementation,MCLDNN,0.4638085491672921,0.1166530150556133,0.0598139069116002,0.1777353489663816,0.0219707523000162,0.140251572327044,0.0817610062893081,0.1974842767295597,800,20260812,10,0.00010542128282058838,0.0045331151612853,0.0003004392790235401,True
hard_interference,6.0,-15.0,159,iqformer_inspired,IQFormer,0.4638085491672921,0.1468114709880391,0.0842798129973295,0.2239398269394511,0.0763688923225301,0.1842767295597484,0.120754716981132,0.2566037735849056,800,20260812,10,3.778007771663714e-05,0.0017001034972486714,0.00012089624869323886,True
hard_interference,6.0,-10.0,157,mcldnn_reimplementation,MCLDNN,0.5295248196138583,0.0139548055839095,-0.041981085299764,0.0720291402534325,0.0474959009789245,0.0171974522292993,-0.0420382165605095,0.0745541401273885,800,20260812,10,0.63137131617812,1.0,0.7215672184892801,False
hard_interference,6.0,-10.0,157,iqformer_inspired,IQFormer,0.5295248196138583,-0.0584135745028296,-0.1109140237660812,0.0005398752495539,0.0575947855372136,-0.0573248407643312,-0.1159235668789809,0.0032006369426751,800,20260812,10,0.03993168649352039,1.0,0.06552892142526423,False
hard_interference,6.0,-5.0,153,mcldnn_reimplementation,MCLDNN,0.5380020455044946,-0.071672834908499,-0.1180864384487974,-0.0182024407971679,0.0279839726450631,-0.0594771241830065,-0.1143954248366013,0.0013888888888888,800,20260812,10,0.004911426088252338,0.16698848700057947,0.010139718375746763,False
hard_interference,6.0,-5.0,153,iqformer_inspired,IQFormer,0.5380020455044946,-0.1300670508996989,-0.174476473009831,-0.0836453063291808,0.0226626698740242,-0.1130718954248365,-0.157516339869281,-0.0646895424836601,800,20260812,10,1.9861918791371576e-08,1.1122674523168083e-06,1.41240311405309e-07,False
hard_interference,6.0,0.0,140,mcldnn_reimplementation,MCLDNN,0.5987213001257538,-0.0858895812662789,-0.1356930305456478,-0.0398696917146912,0.0221458730635218,-0.0964285714285714,-0.1514821428571428,-0.0414107142857143,800,20260812,10,0.00044214586221165246,0.017243688626254444,0.0010883590454440677,False
hard_interference,6.0,0.0,140,iqformer_inspired,IQFormer,0.5987213001257538,-0.1197503790683623,-0.1691336142004824,-0.0676626958415866,0.0184320943456394,-0.1171428571428571,-0.1686071428571428,-0.0557142857142857,800,20260812,10,3.726464831088993e-06,0.00018632324155444966,1.5899583279313037e-05,False
hard_interference,10.0,-15.0,156,mcldnn_reimplementation,MCLDNN,0.4235985196158908,0.0710899668395787,0.003215088781965,0.1355279583465872,0.0537403529056036,0.0846153846153846,0.0262660256410256,0.1429967948717948,800,20260812,10,0.035193424133464594,0.950222451603544,0.059273135382677214,False
hard_interference,10.0,-15.0,156,iqformer_inspired,IQFormer,0.4235985196158908,0.0950183277972511,0.0228263199684781,0.1715334080915309,0.0831751691667374,0.0929487179487179,0.0269230769230769,0.1673397435897435,800,20260812,10,0.012255911545630641,0.37993325791454985,0.0230699511447165,False
hard_interference,10.0,-10.0,132,mcldnn_reimplementation,MCLDNN,0.5156601811433529,0.0004205512135142,-0.0600125603554653,0.0653626861630601,0.0359224641357404,0.0265151515151515,-0.0288257575757575,0.0795454545454545,800,20260812,10,0.9895091004654476,1.0,0.9895091004654476,False
hard_interference,10.0,-10.0,132,iqformer_inspired,IQFormer,0.5156601811433529,-0.0572760565116121,-0.1226199773736899,0.0168314972265879,0.0627048763960122,-0.028030303030303,-0.0833712121212121,0.0288068181818181,800,20260812,10,0.10739606610584959,1.0,0.1636511483517708,False
hard_interference,10.0,-5.0,166,mcldnn_reimplementation,MCLDNN,0.5212524012814022,-0.0848019869738039,-0.1293681957894121,-0.0353017551989337,0.0214805048725394,-0.0831325301204818,-0.1361445783132529,-0.0301054216867469,800,20260812,10,0.0004095370962738703,0.01643883825854773,0.0010484149664611079,False
hard_interference,10.0,-5.0,166,iqformer_inspired,IQFormer,0.5212524012814022,-0.1330751259895813,-0.1780591405939518,-0.0824337770476146,0.0236741838738584,-0.1295180722891566,-0.181355421686747,-0.0746686746987952,800,20260812,10,4.894819695875325e-08,2.692150832731429e-06,3.132684605360208e-07,False
hard_interference,10.0,0.0,144,mcldnn_reimplementation,MCLDNN,0.5674729443412746,-0.1436542237129781,-0.1786350977105422,-0.1068607353551769,0.0241543699730508,-0.1173611111111111,-0.1583506944444444,-0.0715277777777777,800,20260812,10,4.308272570142106e-15,2.6711289934881056e-13,9.190981482969826e-14,False
hard_interference,10.0,0.0,144,iqformer_inspired,IQFormer,0.5674729443412746,-0.1991925773379627,-0.2407607945259941,-0.1546088335162472,0.0276848189039317,-0.1770833333333333,-0.2208506944444444,-0.1298611111111111,800,20260812,10,1.2656917468941058e-19,7.973858005432866e-18,4.0502135900611386e-18,False
hard_interference,14.0,-15.0,142,mcldnn_reimplementation,MCLDNN,0.4816093251101585,0.1209659007496002,0.0637258950244138,0.1832309367599947,0.0389112166941907,0.1077464788732394,0.0492781690140845,0.1655105633802816,800,20260812,10,7.252512285317977e-05,0.0031911054055399094,0.00022102894583826213,True
hard_interference,14.0,-15.0,142,iqformer_inspired,IQFormer,0.4816093251101585,0.1213282461947203,0.051516533184755,0.1951901687616189,0.0954250566745587,0.1147887323943661,0.0436443661971831,0.1852112676056338,800,20260812,10,0.0009320725955014673,0.03448668603355429,0.002130451646860497,True
hard_interference,14.0,-10.0,149,mcldnn_reimplementation,MCLDNN,0.5610018674157068,-0.0082535180012439,-0.0662556544017434,0.0471296792838063,0.0303573867572223,0.0140939597315436,-0.0456375838926174,0.0711577181208053,800,20260812,10,0.7753848514665469,1.0,0.8410954320993052,False
hard_interference,14.0,-10.0,149,iqformer_inspired,IQFormer,0.5610018674157068,-0.0764047095370872,-0.1347125196233906,-0.011827835408461,0.0442757694505417,-0.059731543624161,-0.1208053691275167,0.0013758389261744,800,20260812,10,0.014799355861199764,0.44398067583599293,0.027061679289050997,False
hard_interference,14.0,-5.0,144,mcldnn_reimplementation,MCLDNN,0.5653049063171507,-0.0243655170480379,-0.0707939604631404,0.0226553387767144,0.0217142338041701,-0.0381944444444444,-0.0916666666666666,0.0132118055555555,800,20260812,10,0.3067510766939322,1.0,0.40201805574616944,False
hard_interference,14.0,-5.0,144,iqformer_inspired,IQFormer,0.5653049063171507,-0.0761176374028449,-0.1335726156131488,-0.0256059612482756,0.042013018562224,-0.0888888888888889,-0.1514236111111111,-0.0298611111111111,800,20260812,10,0.0057169174898605325,0.18294135967553704,0.01108735513185073,False
hard_interference,14.0,0.0,175,mcldnn_reimplementation,MCLDNN,0.5965092675687748,-0.1062237949077729,-0.1449634744629067,-0.0664411905485528,0.025595342566985,-0.0982857142857143,-0.1394285714285714,-0.0565571428571428,800,20260812,10,1.1402662346916603e-07,6.157437667334966e-06,6.63427627456966e-07,False
hard_interference,14.0,0.0,175,iqformer_inspired,IQFormer,0.5965092675687748,-0.149118886506801,-0.1914347167271632,-0.1071871048631334,0.0214218678024124,-0.136,-0.184,-0.0902714285714285,800,20260812,10,3.968431931920407e-12,2.420743478471448e-10,6.349491091072651e-11,False
hard_interference,18.0,-15.0,156,mcldnn_reimplementation,MCLDNN,0.4184584277370022,0.0571563107088322,-0.005805686902444,0.1162899385309313,0.0463537303503209,0.0782051282051282,0.0141025641025641,0.1359134615384615,800,20260812,10,0.06650186681105252,1.0,0.1038077920953015,False
hard_interference,18.0,-15.0,156,iqformer_inspired,IQFormer,0.4184584277370022,0.0851207185953129,0.0160910666147894,0.1589933826008569,0.0910964871563194,0.0993589743589743,0.0333333333333333,0.1666826923076923,800,20260812,10,0.019547010741380568,0.5473163007586559,0.03381104560671233,False
hard_interference,18.0,-10.0,155,mcldnn_reimplementation,MCLDNN,0.5741024910533687,-0.0042392053128701,-0.0557098392538141,0.0486161402196774,0.036096898000921,0.0083870967741935,-0.0432419354838709,0.0594032258064515,800,20260812,10,0.8734457279140027,1.0,0.9016213965563898,False
hard_interference,18.0,-10.0,155,iqformer_inspired,IQFormer,0.5741024910533687,-0.0686458727189044,-0.1149599794552983,-0.0181596475364391,0.0281018445085082,-0.056774193548387,-0.1039032258064516,-0.0070645161290322,800,20260812,10,0.005439010977418428,0.1794873622548081,0.010878021954836855,False
hard_interference,18.0,-5.0,163,mcldnn_reimplementation,MCLDNN,0.6114476939312216,-0.0171254777109628,-0.0656434611465587,0.0371123832825513,0.0346200842703628,0.0049079754601227,-0.0435736196319018,0.0576687116564417,800,20260812,10,0.5135613466636721,1.0,0.6201495506882079,False
hard_interference,18.0,-5.0,163,iqformer_inspired,IQFormer,0.6114476939312216,-0.0954685362763317,-0.1432612767259049,-0.0375305041038204,0.0424934742175935,-0.0717791411042944,-0.122101226993865,-0.0171779141104294,800,20260812,10,0.00040094727459872513,0.01643883825854773,0.0010484149664611079,False
hard_interference,18.0,0.0,151,mcldnn_reimplementation,MCLDNN,0.5858930970449566,-0.114240716600144,-0.1534840399397084,-0.0749135453104578,0.022922101298166,-0.1072847682119205,-0.1483609271523178,-0.0662251655629139,800,20260812,10,1.201337657427187e-08,6.847624647334965e-07,9.610701259417496e-08,False
hard_interference,18.0,0.0,151,iqformer_inspired,IQFormer,0.5858930970449566,-0.1879278169285567,-0.2254378627049056,-0.1478011966217373,0.028721160791004,-0.1649006622516556,-0.2053145695364238,-0.1238245033112583,800,20260812,10,2.3415086254586292e-21,1.4985655202935227e-19,1.4985655202935227e-19,False
