split,true_class,predicted_class,a5_count_mean,cssl_count_mean,difference
clean_retention,CPFSK,4FSK,12.9,22.2,-9.299999999999999
clean_retention,4FSK,BPSK,0.5,7.2,-6.7
clean_retention,4FSK,PI2BPSK,7.2,7.1,0.10000000000000053
clean_retention,4FSK,QPSK,0.1,10.2,-10.1
clean_retention,4FSK,8PSK,7.8,11.8,-4.000000000000001
clean_retention,4FSK,16QAM,0.2,12.6,-12.4
clean_retention,4FSK,64QAM,0.2,11.0,-10.8
clean_retention,4FSK,256QAM,6.0,12.0,-6.0
clean_retention,4FSK,GMSK,21.5,29.2,-7.699999999999999
clean_retention,4FSK,CPFSK,75.9,31.5,44.400000000000006
clean_retention,4FSK,4FSK,380.6,367.4,13.200000000000045
