reference,model,covariates,held_rmse_pp,r_squared_skill,fit_domain_constant_rmse_pp
IQFormer,M0_constant,intercept,8.368064220308472,2.220446049250313e-16,8.368064220308474
IQFormer,M1_sir_only,sir_db,6.83893711674267,0.33207574932386386,8.368064220308474
IQFormer,M2_overlap_only,occupancy_mean,7.461898267934167,0.20485077767082616,8.368064220308474
IQFormer,M3_overlap_sir,occupancy_mean+sir_db,6.230341912558914,0.44566314625239034,8.368064220308474
IQFormer,M4_overlap_sir_snr,occupancy_mean+sir_db+snr_db_mean,6.153186480539117,0.45930774920618256,8.368064220308474
MCLDNN,M0_constant,intercept,9.634736423162217,2.220446049250313e-16,9.634736423162218
MCLDNN,M1_sir_only,sir_db,8.707243546295679,0.18326398309838898,9.634736423162218
MCLDNN,M2_overlap_only,occupancy_mean,8.67829329823085,0.18868599814858644,9.634736423162218
MCLDNN,M3_overlap_sir,occupancy_mean+sir_db,8.101174991763637,0.29300498701219857,9.634736423162218
MCLDNN,M4_overlap_sir_snr,occupancy_mean+sir_db+snr_db_mean,8.050365324201715,0.30184556425009723,9.634736423162218
