train_sources,model,model_short,metric,seed_count,mean,std,seed_ci_low,seed_ci_high
10000,a0_backbone,A0,hard_interference_macro_f1,5,0.2463077642166857,0.01402843415584565,0.2288891625742001,0.2637263658591713
10000,a0_backbone,A0,id_test_macro_f1,5,0.34911025761086295,0.007457722030039698,0.3398502726575515,0.3583702425641744
10000,a0_backbone,A0,selected_validation_macro_f1,5,0.3422886705395328,0.005307794526570985,0.3356981731660266,0.348879167913039
10000,a5_vimd_full,A5-VIMD,hard_interference_macro_f1,5,0.2906673675901626,0.011491675850165115,0.2763985674079849,0.3049361677723403
10000,a5_vimd_full,A5-VIMD,id_test_macro_f1,5,0.3706269974404313,0.006687929263624754,0.362322836451255,0.3789311584296076
10000,a5_vimd_full,A5-VIMD,selected_validation_macro_f1,5,0.35932804662045237,0.009303215190804778,0.3477765792504877,0.370879513990417
30000,a0_backbone,A0,hard_interference_macro_f1,5,0.3272533173314934,0.008255804087554873,0.317002382619753,0.33750425204323375
30000,a0_backbone,A0,id_test_macro_f1,5,0.4433453774968987,0.01411138919768266,0.42582377356549456,0.4608669814283028
30000,a0_backbone,A0,selected_validation_macro_f1,5,0.43735493478802895,0.014836641881868763,0.41893281070907035,0.45577705886698755
30000,a5_vimd_full,A5-VIMD,hard_interference_macro_f1,5,0.3812857329629833,0.010405655754049288,0.3683654048354784,0.39420606109048817
30000,a5_vimd_full,A5-VIMD,id_test_macro_f1,5,0.4918728367724145,0.006422019620062122,0.48389884621442514,0.49984682733040386
30000,a5_vimd_full,A5-VIMD,selected_validation_macro_f1,5,0.48303939231031023,0.003198562685453623,0.4790678521777845,0.48701093244283594
100000,a0_backbone,A0,hard_interference_macro_f1,5,0.39409848547075843,0.0024819541168916233,0.3910167323986205,0.39718023854289636
100000,a0_backbone,A0,id_test_macro_f1,5,0.514855150985768,0.0033551956079019094,0.5106891253925048,0.5190211765790311
100000,a0_backbone,A0,selected_validation_macro_f1,5,0.5163676758622369,0.0049575914989426215,0.5102120129801988,0.5225233387442749
100000,a5_vimd_full,A5-VIMD,hard_interference_macro_f1,5,0.4359411703132182,0.004706650025962125,0.4300970924238362,0.44178524820260023
100000,a5_vimd_full,A5-VIMD,id_test_macro_f1,5,0.5633190142589516,0.0066937275078762445,0.5550076537986355,0.5716303747192677
100000,a5_vimd_full,A5-VIMD,selected_validation_macro_f1,5,0.5591836526107306,0.009782364171145442,0.5470372432021008,0.5713300620193603
