reference,specification,rmse_pp,constant_rmse_pp,r_squared_skill,oracle_constant_rmse_pp,sign_agreement,negative_gain_share
IQFormer,overlap_plus_sir,6.230341912558914,8.368064220308474,0.44566314625239034,6.0442136783192675,0.975,0.9625
IQFormer,overlap_plus_sir_plus_snr,6.153186480539117,8.368064220308474,0.45930774920618256,6.0442136783192675,0.975,0.9625
MCLDNN,overlap_plus_sir,8.101174991763637,9.634736423162218,0.29300498701219857,6.808797545016293,0.95,0.9
MCLDNN,overlap_plus_sir_plus_snr,8.050365324201715,9.634736423162218,0.30184556425009723,6.808797545016293,0.95,0.9
