seed,split,count,mean,std,q05,q50,q95,minimum,maximum
17,clean_retention,5000,0.9999786019325256,1.1993713087576907e-05,0.9999569654464722,0.9999812841415405,0.999991774559021,0.9998235106468201,0.9999970197677612
17,hard_interference,5000,0.9999478459358215,3.844975071842782e-05,0.9998732805252075,0.9999538660049438,0.9999911785125732,0.9995765089988708,0.9999977350234985
29,clean_retention,5000,0.9999698996543884,5.207653885008767e-05,0.9998493194580078,0.9999973773956299,0.9999995231628418,0.9996300935745239,0.9999997615814209
29,hard_interference,5000,0.9999447464942932,7.478425686713308e-05,0.9998133778572083,0.9999654293060303,0.9999972581863403,0.9990065693855286,0.9999997615814209
43,clean_retention,5000,0.9999521374702454,1.9022434571525082e-05,0.9999148845672607,0.9999561309814453,0.9999752044677734,0.9998339414596558,0.999984622001648
43,hard_interference,5000,0.9999314546585083,4.4119031372247264e-05,0.9998403787612915,0.9999445676803589,0.9999767541885376,0.9996397495269775,0.9999940395355225
71,clean_retention,5000,0.9998381733894348,0.00014072834164835513,0.9995402693748474,0.9999022483825684,0.9999557733535767,0.9989855885505676,0.999977707862854
71,hard_interference,5000,0.9997658133506775,0.000276792561635375,0.9991600513458252,0.9998878836631775,0.999976634979248,0.99800044298172,0.9999871253967285
101,clean_retention,5000,0.9999122023582458,2.7455716917756945e-05,0.9998606443405151,0.9999163150787354,0.9999492168426514,0.9997544884681702,0.999974250793457
101,hard_interference,5000,0.9999420046806335,3.465488407528028e-05,0.9998642206192017,0.9999512434005737,0.9999808073043823,0.9997033476829529,0.9999880790710449
131,clean_retention,5000,0.9999773502349854,3.0089229767327197e-05,0.9999088048934937,0.9999922513961792,0.9999964237213135,0.9997853636741638,0.9999974966049194
131,hard_interference,5000,0.9999527335166931,3.855143950204365e-05,0.9998799562454224,0.9999618530273438,0.9999943971633911,0.9996700286865234,0.9999979734420776
173,clean_retention,5000,0.9998574256896973,6.614515586989e-05,0.9997392296791077,0.9998708963394165,0.999933123588562,0.999150276184082,0.9999655485153198
173,hard_interference,5000,0.999765157699585,0.00023967520974110812,0.999398410320282,0.9998090267181396,0.9999725818634033,0.9911561012268066,0.999994158744812
211,clean_retention,5000,0.9999738335609436,1.3516034414351452e-05,0.9999485015869141,0.9999771118164062,0.9999895095825195,0.9998990297317505,0.9999938011169434
211,hard_interference,5000,0.9999625086784363,2.5175757400575094e-05,0.999903678894043,0.9999713897705078,0.9999849796295166,0.9997482895851135,0.9999940395355225
257,clean_retention,5000,0.9999732375144958,1.6421623513451777e-05,0.9999395608901978,0.9999780654907227,0.9999912977218628,0.9998645782470703,0.9999977350234985
257,hard_interference,5000,0.9999781250953674,1.8396283849142492e-05,0.9999412298202515,0.9999831914901733,0.9999966621398926,0.999880313873291,0.9999990463256836
307,clean_retention,5000,0.9999724626541138,1.5304574844776653e-05,0.9999462366104126,0.9999751448631287,0.9999918937683105,0.9998877048492432,0.9999963045120239
307,hard_interference,5000,0.9999558329582214,3.009977808687836e-05,0.9998942613601685,0.9999629259109497,0.9999920129776001,0.9998026490211487,0.9999971389770508
