regime,snr_db,occupancy_mean,row_count,usable,f1_a5_vimd_full_mean,f1_mcldnn_reimplementation_mean,f1_iqformer_inspired_mean,gain_vs_IQFormer,gain_vs_MCLDNN
s5_severe_r1,-10.0,0.007838413252797544,191,True,0.15288503846989349,0.08843966935032348,0.09760999543453572,0.05527504303535777,0.06444536911957001
s5_severe_r1,-10.0,0.09641178331530846,222,True,0.08050796540032316,0.07339368215646964,0.07237511747714032,0.008132847923182848,0.00711428324385352
s5_severe_r1,-10.0,0.14973359143556053,201,True,0.05654153646060478,0.05111820682616752,0.04811715074284267,0.008424385717762113,0.005423329634437257
s5_severe_r1,-10.0,0.6424779343493108,213,True,0.094629670677894,0.11581716514261615,0.08058233714694554,0.014047333530948461,-0.02118749446472215
s5_severe_r1,-6.0,0.0074126991476675605,213,True,0.2684892988507775,0.2939121388172591,0.1562959883656963,0.11219331048508119,-0.025422839966481592
s5_severe_r1,-6.0,0.09475124760397843,196,True,0.09025345967789068,0.0746086149281123,0.06395077919589914,0.02630268048199154,0.015644844749778383
s5_severe_r1,-6.0,0.14996713605966974,188,True,0.09099202844344295,0.08726560560386898,0.054264465101991496,0.036727563341451455,0.003726422839573973
s5_severe_r1,-6.0,0.6862930160421896,211,True,0.12094792699185315,0.212978884901755,0.15884450572637634,-0.03789657873452319,-0.09203095790990186
s5_severe_r1,-2.0,0.00788690540151477,178,True,0.2949565118279157,0.4967524473911366,0.30910700526823814,-0.014150493440322431,-0.2017959355632209
s5_severe_r1,-2.0,0.09499757191037188,202,True,0.13746789423548372,0.16565673498799244,0.09015577253833003,0.047312121697153695,-0.028188840752508715
s5_severe_r1,-2.0,0.15136968111865734,189,True,0.10871361474306744,0.10806706685019658,0.08525507197426754,0.023458542768799898,0.0006465478928708579
s5_severe_r1,-2.0,0.6653947226776935,202,True,0.15604225758204393,0.3438232215919479,0.21211732257500202,-0.056075064992958085,-0.18778096400990396
s5_severe_r1,2.0,0.007008752265654639,194,True,0.35564686816349833,0.589004906267445,0.43391845429834214,-0.0782715861348438,-0.23335803810394662
s5_severe_r1,2.0,0.09728807438287376,213,True,0.09271284357857798,0.1939613085355008,0.11211718918863063,-0.01940434561005265,-0.10124846495692283
s5_severe_r1,2.0,0.14983165721182062,238,True,0.07412760246853947,0.07361573878106123,0.07193362378200058,0.0021939786865388944,0.0005118636874782423
s5_severe_r1,2.0,0.6619319860170136,201,True,0.24860779756992607,0.5119174976568853,0.31375413167478905,-0.06514633410486298,-0.26330970008695925
s5_severe_r1,6.0,0.007777806729388032,221,True,0.3716586307931252,0.6582024268530248,0.48838325573945607,-0.11672462494633085,-0.28654379605989955
s5_severe_r1,6.0,0.09547642029043454,201,True,0.17472304455754165,0.2825829195339325,0.20121259799767324,-0.026489553440131597,-0.10785987497639085
s5_severe_r1,6.0,0.14969937153126237,217,True,0.15872176986111616,0.15738205949684458,0.15270082414271002,0.00602094571840614,0.001339710364271579
s5_severe_r1,6.0,0.662940048679863,194,True,0.2457668819117816,0.5581683767227538,0.3427311023656903,-0.09696422045390873,-0.3124014948109722
s5_severe_r1,10.0,0.006385696949706393,186,True,0.3986608285938173,0.6819843194795634,0.5353623376257152,-0.13670150903189787,-0.2833234908857461
s5_severe_r1,10.0,0.09461905206870107,206,True,0.11658951526500312,0.2707994074085671,0.21532755315004018,-0.09873803788503706,-0.154209892143564
s5_severe_r1,10.0,0.1514575700502138,185,True,0.10490067652303245,0.12112712317265,0.08269934265094106,0.02220133387209139,-0.016226446649617546
s5_severe_r1,10.0,0.6934206922949874,197,True,0.21325541914096036,0.5787468525292713,0.35086469413208066,-0.1376092749911203,-0.3654914333883109
s5_severe_r1,14.0,0.008009322572909637,218,True,0.3932651918542261,0.6796087730364944,0.5308779839020615,-0.13761279204783544,-0.28634358118226827
s5_severe_r1,14.0,0.0945175477190987,182,True,0.15616473653327173,0.22985203274348215,0.1751248476655451,-0.01896011113227336,-0.07368729621021042
