scope,condition,n_seeds,macro_f1,macro_f1_seed_std
s5_severe_r1,A5_matched5,5,0.21104748352935757,0.014857647957685871
s5_severe_r2,A5_matched5,5,0.20331313557900993,0.01717781922620985
pooled,A5_matched5,5,0.20718030955418376,0.015905218632781336
s5_severe_r1,S_matched5,5,0.2635035760124175,0.016973813252141496
s5_severe_r2,S_matched5,5,0.2586796378479743,0.018595215350138757
pooled,S_matched5,5,0.26109160693019595,0.01769193316015774
