split,model,model_short,modulation,support,f1_mean,f1_std,recall_mean,collapsed_class
clean_retention,a0_backbone,A0,BPSK,500,0.7993325675916308,0.006385694637559448,0.7512,False
clean_retention,a0_backbone,A0,PI2BPSK,500,0.7464264698164506,0.023486480874917996,0.8834,False
clean_retention,a0_backbone,A0,QPSK,500,0.004309375960841183,0.005044030642379069,0.0021999999999999997,True
clean_retention,a0_backbone,A0,8PSK,500,0.3438771496164358,0.020819748494629125,0.6095999999999999,False
clean_retention,a0_backbone,A0,16QAM,500,0.0015857673841124652,0.003343142489705945,0.0008,True
clean_retention,a0_backbone,A0,64QAM,500,0.005429867220689205,0.0057711253199836275,0.0028000000000000004,True
clean_retention,a0_backbone,A0,256QAM,500,0.3209950084925858,0.014101057406584962,0.48739999999999994,False
clean_retention,a0_backbone,A0,GMSK,500,0.9303755521983689,0.00519037656713576,0.9322000000000001,False
clean_retention,a0_backbone,A0,CPFSK,500,0.7728016097391764,0.016307719317042762,0.9046000000000001,False
clean_retention,a0_backbone,A0,4FSK,500,0.780302127327938,0.014025692099000476,0.6930000000000001,False
clean_retention,a1_single_mask,a1_single_mask,BPSK,500,0.8333923004717366,0.015581624689105997,0.7926,False
clean_retention,a1_single_mask,a1_single_mask,PI2BPSK,500,0.7992249355799956,0.024599264297515112,0.898,False
clean_retention,a1_single_mask,a1_single_mask,QPSK,500,0.009711426013979597,0.0073654995796765595,0.005,True
clean_retention,a1_single_mask,a1_single_mask,8PSK,500,0.39688776541874804,0.018150017303959463,0.6532,False
clean_retention,a1_single_mask,a1_single_mask,16QAM,500,0.0035427627381567975,0.0034238958662655083,0.0018000000000000002,True
clean_retention,a1_single_mask,a1_single_mask,64QAM,500,0.005826894825093378,0.005551112372116608,0.003,True
clean_retention,a1_single_mask,a1_single_mask,256QAM,500,0.3636218181037471,0.017651254672753604,0.6132,False
clean_retention,a1_single_mask,a1_single_mask,GMSK,500,0.9346481901476202,0.005592873859263294,0.9394000000000002,False
clean_retention,a1_single_mask,a1_single_mask,CPFSK,500,0.805526194691659,0.009156334972906627,0.9080000000000001,False
clean_retention,a1_single_mask,a1_single_mask,4FSK,500,0.8117755049560067,0.01250075317791082,0.7550000000000001,False
clean_retention,a2_tri_no_teacher,a2_tri_no_teacher,BPSK,500,0.8484647174291515,0.007596829941944356,0.7886,False
clean_retention,a2_tri_no_teacher,a2_tri_no_teacher,PI2BPSK,500,0.7892591524962815,0.02176758360420995,0.9032,False
clean_retention,a2_tri_no_teacher,a2_tri_no_teacher,QPSK,500,0.006255042077410703,0.005240354313706576,0.0032,True
clean_retention,a2_tri_no_teacher,a2_tri_no_teacher,8PSK,500,0.4158424892388258,0.01253583609797162,0.6961999999999999,False
clean_retention,a2_tri_no_teacher,a2_tri_no_teacher,16QAM,500,0.007846447313730779,0.006340012281867807,0.004000000000000001,True
clean_retention,a2_tri_no_teacher,a2_tri_no_teacher,64QAM,500,0.005492101616823841,0.004585519823880788,0.0028000000000000004,True
clean_retention,a2_tri_no_teacher,a2_tri_no_teacher,256QAM,500,0.37959417107694077,0.017670393997801223,0.6296,False
