model,model_short,algorithm_seed,temperature,validation_ece_raw,validation_ece_calibrated
a0_backbone,A0,17,0.83361865832245,0.02836383472383023,0.027673486724495884
a0_backbone,A0,29,0.83361865832245,0.03393541274219751,0.02527005507797003
a0_backbone,A0,43,0.8619775720202704,0.03389295426011086,0.033634117461740984
a0_backbone,A0,71,0.83361865832245,0.0363464387357235,0.02798582412302493
a0_backbone,A0,101,0.8619775720202704,0.03618697750568389,0.030167045161128052
a0_backbone,A0,131,0.8619775720202704,0.027662175647914407,0.02106216717511416
a0_backbone,A0,173,0.83361865832245,0.026777220971882343,0.03325213637948036
a0_backbone,A0,211,0.8619775720202704,0.02296206960082055,0.029442436207085858
a0_backbone,A0,257,0.8619775720202704,0.027274619959294786,0.02486123622953891
a0_backbone,A0,307,0.83361865832245,0.04591876931488514,0.03949588368833066
a5_vimd_full,A5-VIMD,17,0.83361865832245,0.03314414177834987,0.0329917389526963
a5_vimd_full,A5-VIMD,29,0.8913012289830017,0.03807641488313675,0.03142740137875079
a5_vimd_full,A5-VIMD,43,0.8619775720202704,0.04496489822864533,0.030712827082723358
a5_vimd_full,A5-VIMD,71,0.8913012289830017,0.031810496181249606,0.030114493757486347
a5_vimd_full,A5-VIMD,101,0.8913012289830017,0.0304146307259798,0.03209930200129746
a5_vimd_full,A5-VIMD,131,0.8619775720202704,0.029948048237711203,0.036772179909050476
a5_vimd_full,A5-VIMD,173,0.8619775720202704,0.034480967205017796,0.021034005589783206
a5_vimd_full,A5-VIMD,211,0.83361865832245,0.026634824506938447,0.020123670741915695
a5_vimd_full,A5-VIMD,257,0.8913012289830017,0.02882619708776474,0.03958751959353686
a5_vimd_full,A5-VIMD,307,0.8913012289830017,0.025746020168066024,0.024261040285229688
cssl_amc_supervised_adaptation,CSSL,17,1.4237182653059974,0.11987331928312775,0.08854181554913519
cssl_amc_supervised_adaptation,CSSL,29,1.4237182653059974,0.11828120341151953,0.07339209133386611
cssl_amc_supervised_adaptation,CSSL,43,1.4237182653059974,0.11372656388580799,0.07466701716929673
cssl_amc_supervised_adaptation,CSSL,71,1.472151806245536,0.1127975227832794,0.06335329811275008
cssl_amc_supervised_adaptation,CSSL,101,1.4237182653059974,0.11574455195665356,0.07693432902544738
cssl_amc_supervised_adaptation,CSSL,131,1.472151806245536,0.12214704369008542,0.0751448971107602
cssl_amc_supervised_adaptation,CSSL,173,1.3768781795237262,0.10653451749682426,0.0615503984540701
cssl_amc_supervised_adaptation,CSSL,211,1.4237182653059974,0.10842835026979449,0.05955640632659197
cssl_amc_supervised_adaptation,CSSL,257,1.4237182653059974,0.10293460145592691,0.07230115642398595
cssl_amc_supervised_adaptation,CSSL,307,1.3768781795237262,0.10205300593376163,0.07839775693416595
mcldnn_reimplementation,MCLDNN,17,0.7796691454091719,0.04819317794591188,0.03091243716329338
mcldnn_reimplementation,MCLDNN,29,0.7540181647743853,0.06718768376857043,0.03309259703010321
mcldnn_reimplementation,MCLDNN,43,0.7540181647743853,0.06803180585056544,0.029708586908876868
mcldnn_reimplementation,MCLDNN,71,0.7796691454091719,0.04851876316964625,0.031647572264075295
mcldnn_reimplementation,MCLDNN,101,0.7052201774558158,0.06787018308788537,0.015060702018439766
mcldnn_reimplementation,MCLDNN,131,0.7796691454091719,0.05618609721958637,0.03177671949565412
mcldnn_reimplementation,MCLDNN,173,0.7540181647743853,0.053090840861201284,0.02582632771506906
mcldnn_reimplementation,MCLDNN,211,0.83361865832245,0.04251399351656436,0.030257697448134405
mcldnn_reimplementation,MCLDNN,257,0.7292110969857086,0.06429037742316722,0.036886778436601174
mcldnn_reimplementation,MCLDNN,307,0.7540181647743853,0.07364161213487386,0.03839846692234276
iqformer_inspired,IQFormer,17,0.83361865832245,0.0456795655116439,0.025579655230045295
iqformer_inspired,IQFormer,29,0.8061927480022409,0.05539558847993612,0.02907301400601862
iqformer_inspired,IQFormer,43,0.8619775720202704,0.050811991535127166,0.03691681279987096
iqformer_inspired,IQFormer,71,0.8619775720202704,0.0467847785204649,0.025391208454966563
iqformer_inspired,IQFormer,101,0.8619775720202704,0.03887886717170475,0.032354720994830145
iqformer_inspired,IQFormer,131,0.8913012289830017,0.05320640327036383,0.04567692117393016
iqformer_inspired,IQFormer,173,0.8619775720202704,0.05601227176189425,0.04249800442904233
iqformer_inspired,IQFormer,211,0.8061927480022409,0.055232051834464085,0.028919056601822393
iqformer_inspired,IQFormer,257,0.8913012289830017,0.052484280407428766,0.03423863302916289
iqformer_inspired,IQFormer,307,0.83361865832245,0.05778266885876655,0.03059507714211941
