regime,stratum_type,stratum,candidate,reference,reference_short,row_count,macro_f1_difference,macro_f1_ci95_low,macro_f1_ci95_high,macro_f1_seed_std,accuracy_difference,accuracy_ci95_low,accuracy_ci95_high,bootstrap_draws,bootstrap_seed,algorithm_seed_count
hard_interference,jammer_family,tone,a5_vimd_full,a0_backbone,A0,842,0.028943212110603255,0.012241251955350155,0.046497654236920684,0.01584032200217077,0.024346793349168654,0.007719714964370546,0.04258610451306408,1500,20260812,10
hard_interference,jammer_family,tone,a5_vimd_full,cssl_amc_supervised_adaptation,CSSL,842,0.07412907830799764,0.049419296348012995,0.09996788412048246,0.01751732617982938,0.11496437054631829,0.08913004750593825,0.14109263657957244,1500,20260812,10
hard_interference,jammer_family,tone,a5_vimd_full,iqformer_inspired,IQFormer,842,-0.05039378924866826,-0.0778411235885103,-0.02107200608420184,0.030248141305427367,-0.024109263657957236,-0.053331353919239904,0.0065944180522565145,1500,20260812,10
hard_interference,jammer_family,multitone,a5_vimd_full,a0_backbone,A0,814,0.05273350614114708,0.0332221627840725,0.07106523470066409,0.015309560881813684,0.05098280098280097,0.028313882063882065,0.07138206388206386,1500,20260812,10
hard_interference,jammer_family,multitone,a5_vimd_full,cssl_amc_supervised_adaptation,CSSL,814,0.07314857349722056,0.0461147564514413,0.1011973758010207,0.01896844438460762,0.10786240786240783,0.08058968058968059,0.13785626535626527,1500,20260812,10
hard_interference,jammer_family,multitone,a5_vimd_full,iqformer_inspired,IQFormer,814,-0.0013805552726334825,-0.0322864282024719,0.031223951039300504,0.03542079527783481,0.018058968058968044,-0.014192260442260443,0.05350429975429973,1500,20260812,10
hard_interference,jammer_family,chirp,a5_vimd_full,a0_backbone,A0,800,0.03418131548494432,0.020731503618235475,0.04896154380333573,0.012157607488936841,0.031625,0.0165,0.047756249999999965,1500,20260812,10
hard_interference,jammer_family,chirp,a5_vimd_full,cssl_amc_supervised_adaptation,CSSL,800,0.041775583862280814,0.01564954745185345,0.06914193466412343,0.007663588679406915,0.08299999999999999,0.057184375,0.11131562499999999,1500,20260812,10
hard_interference,jammer_family,chirp,a5_vimd_full,iqformer_inspired,IQFormer,800,-0.05943769361973903,-0.0836467902448733,-0.031598793962234396,0.02118518652794518,-0.032625,-0.058315624999999996,-0.005178125000000051,1500,20260812,10
hard_interference,jammer_family,sweep,a5_vimd_full,a0_backbone,A0,865,0.04808888095890884,0.030755846114404226,0.06679565840623924,0.01900878500220918,0.03699421965317918,0.0176271676300578,0.05722543352601157,1500,20260812,10
hard_interference,jammer_family,sweep,a5_vimd_full,cssl_amc_supervised_adaptation,CSSL,865,-0.034648715237437906,-0.05828783376594892,-0.009860540410860772,0.02243939109270888,-0.0011560693641618435,-0.025549132947976876,0.02382080924855488,1500,20260812,10
