regime,axis,level_db,model,model_short,row_count,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std
unseen_jammer,snr_db,-10.0,a0_backbone,A0,637,0.15763373297113406,0.014375242034850631,0.17017268445839873,0.014655751934221077
unseen_jammer,snr_db,-10.0,a5_vimd_full,A5-VIMD,637,0.17830723145692523,0.010156802956539772,0.18649921507064363,0.008528120894804127
unseen_jammer,snr_db,-10.0,cssl_amc_supervised_adaptation,CSSL,637,0.1328428780535474,0.012090189200853346,0.13171114599686026,0.011781496499701845
unseen_jammer,snr_db,-10.0,mcldnn_reimplementation,MCLDNN,637,0.19995981113929137,0.014360249893138801,0.21569858712715856,0.01604706542146724
unseen_jammer,snr_db,-10.0,iqformer_inspired,IQFormer,637,0.19810616382132556,0.012062649734153504,0.2177394034536892,0.01105237023436188
unseen_jammer,snr_db,-6.0,a0_backbone,A0,585,0.2745190269062527,0.017012380315225298,0.30427350427350425,0.016256800703916937
unseen_jammer,snr_db,-6.0,a5_vimd_full,A5-VIMD,585,0.30610844749299776,0.01636743315379633,0.3336752136752137,0.013211511563477553
unseen_jammer,snr_db,-6.0,cssl_amc_supervised_adaptation,CSSL,585,0.22985459397379623,0.01375431641297367,0.23333333333333334,0.013846271088573066
unseen_jammer,snr_db,-6.0,mcldnn_reimplementation,MCLDNN,585,0.4024114512929488,0.013480685549296908,0.43350427350427356,0.008343250241697164
unseen_jammer,snr_db,-6.0,iqformer_inspired,IQFormer,585,0.38958984940642366,0.01726695079193965,0.418974358974359,0.016679689070836327
unseen_jammer,snr_db,-2.0,a0_backbone,A0,609,0.40345208682292144,0.017391440852599457,0.42298850574712643,0.018222573524734338
unseen_jammer,snr_db,-2.0,a5_vimd_full,A5-VIMD,609,0.4493803763514327,0.01275132559024608,0.45944170771756976,0.009282306261937623
unseen_jammer,snr_db,-2.0,cssl_amc_supervised_adaptation,CSSL,609,0.40327697459784434,0.011528562371605365,0.41559934318555003,0.012776734097929943
unseen_jammer,snr_db,-2.0,mcldnn_reimplementation,MCLDNN,609,0.558390242255865,0.013698852732207039,0.5770114942528736,0.011820632719599879
unseen_jammer,snr_db,-2.0,iqformer_inspired,IQFormer,609,0.5754861604581615,0.01788148966094081,0.586863711001642,0.01458857690111239
unseen_jammer,snr_db,2.0,a0_backbone,A0,607,0.47276879157521334,0.01350339444211891,0.48846787479406917,0.011681519706854838
unseen_jammer,snr_db,2.0,a5_vimd_full,A5-VIMD,607,0.5168909244784492,0.013387833424415426,0.5232289950576606,0.009358114620160703
unseen_jammer,snr_db,2.0,cssl_amc_supervised_adaptation,CSSL,607,0.5624066911866816,0.014470247831126559,0.5678747940691927,0.011147856289909117
unseen_jammer,snr_db,2.0,mcldnn_reimplementation,MCLDNN,607,0.6752795215401882,0.013630845448401067,0.6856672158154861,0.01161809954232435
unseen_jammer,snr_db,2.0,iqformer_inspired,IQFormer,607,0.6848243837174117,0.02178329740429828,0.6894563426688632,0.019589301462643583
unseen_jammer,snr_db,6.0,a0_backbone,A0,635,0.501927500061415,0.013819865801937904,0.5228346456692913,0.011548556430446208
unseen_jammer,snr_db,6.0,a5_vimd_full,A5-VIMD,635,0.5422487881851346,0.013411405498308692,0.5555905511811023,0.010440785209828302
unseen_jammer,snr_db,6.0,cssl_amc_supervised_adaptation,CSSL,635,0.623431367895521,0.01588236937556448,0.6371653543307086,0.014398903244929085
unseen_jammer,snr_db,6.0,mcldnn_reimplementation,MCLDNN,635,0.687405082368978,0.011307947849660252,0.7058267716535434,0.009926674354706818
unseen_jammer,snr_db,6.0,iqformer_inspired,IQFormer,635,0.7059477682767694,0.007224370659284235,0.7122834645669291,0.006344978107461136
unseen_jammer,snr_db,10.0,a0_backbone,A0,662,0.5060492235191294,0.011144753353054503,0.515105740181269,0.007536067244257696
unseen_jammer,snr_db,10.0,a5_vimd_full,A5-VIMD,662,0.5407822543667412,0.01607640097736341,0.540332326283988,0.011461132991612003
unseen_jammer,snr_db,10.0,cssl_amc_supervised_adaptation,CSSL,662,0.637410424016741,0.017686763213608087,0.6570996978851964,0.014558743499296034
unseen_jammer,snr_db,10.0,mcldnn_reimplementation,MCLDNN,662,0.6864541134018958,0.01128736653152148,0.7089123867069487,0.01019684083824672
unseen_jammer,snr_db,10.0,iqformer_inspired,IQFormer,662,0.7335781985020328,0.016951285625813647,0.7480362537764351,0.014397636254309376
unseen_jammer,snr_db,14.0,a0_backbone,A0,621,0.5140875495146001,0.011179412417739735,0.5428341384863123,0.010112071803567517
unseen_jammer,snr_db,14.0,a5_vimd_full,A5-VIMD,621,0.5588476038793196,0.007180264315433894,0.578743961352657,0.005215226109067574
unseen_jammer,snr_db,14.0,cssl_amc_supervised_adaptation,CSSL,621,0.6446071462821842,0.01955196955029463,0.6669887278582931,0.016312822371427074
unseen_jammer,snr_db,14.0,mcldnn_reimplementation,MCLDNN,621,0.6986069085695454,0.011542491327654912,0.7247987117552335,0.012013309360634135
unseen_jammer,snr_db,14.0,iqformer_inspired,IQFormer,621,0.7415629998549551,0.014678917680556871,0.7557165861513687,0.013366509481125345
unseen_jammer,snr_db,18.0,a0_backbone,A0,644,0.5057948731412811,0.016038523177625552,0.5273291925465838,0.012318405615439747
unseen_jammer,snr_db,18.0,a5_vimd_full,A5-VIMD,644,0.53666558551074,0.013420854352130132,0.5524844720496895,0.011358895837967032
unseen_jammer,snr_db,18.0,cssl_amc_supervised_adaptation,CSSL,644,0.6509760296383384,0.018914901923737907,0.6774844720496895,0.015476969450748859
unseen_jammer,snr_db,18.0,mcldnn_reimplementation,MCLDNN,644,0.699733397301122,0.006476721282787672,0.7354037267080746,0.00782241635085406
unseen_jammer,snr_db,18.0,iqformer_inspired,IQFormer,644,0.7565954070760511,0.013691123584798815,0.7799689440993789,0.010301377421359831
unseen_jammer,sir_db,-10.0,a0_backbone,A0,983,0.2466262361554536,0.010130546541145785,0.2686673448626653,0.007987899457907167
unseen_jammer,sir_db,-10.0,a5_vimd_full,A5-VIMD,983,0.28244552398607836,0.01607819375924947,0.29745676500508644,0.011052722299064555
