regime,axis,level_db,candidate,reference,reference_short,row_count,macro_f1_difference,macro_f1_ci95_low,macro_f1_ci95_high,macro_f1_seed_std,accuracy_difference,accuracy_ci95_low,accuracy_ci95_high,bootstrap_draws,bootstrap_seed,algorithm_seed_count
unseen_jammer,snr_db,-10.0,a5_vimd_full,a0_backbone,A0,637,0.020673498485791197,-0.0009129232607638058,0.0406230427635847,0.021526045236646946,0.016326530612244896,-0.0047095761381475655,0.037205651491365774,1000,20260812,10
unseen_jammer,snr_db,-10.0,a5_vimd_full,cssl_amc_supervised_adaptation,CSSL,637,0.045464353403377844,0.023572835824505194,0.0706185454981505,0.01491482971705015,0.05478806907378335,0.032649136577707995,0.08022370486656202,1000,20260812,10
unseen_jammer,snr_db,-10.0,a5_vimd_full,mcldnn_reimplementation,MCLDNN,637,-0.021652579682366148,-0.044634368537308906,0.0010757514688237587,0.017440706505021282,-0.029199372056514922,-0.053540031397174254,-0.005180533751962324,1000,20260812,10
unseen_jammer,snr_db,-10.0,a5_vimd_full,iqformer_inspired,IQFormer,637,-0.019798932364400303,-0.04413588720210848,0.0037963859466032916,0.017700908325009156,-0.03124018838304553,-0.056828885400313965,-0.00611852433281005,1000,20260812,10
unseen_jammer,snr_db,-6.0,a5_vimd_full,a0_backbone,A0,585,0.031589420586745055,0.006824757071399997,0.05658800282464781,0.022263644383137292,0.029401709401709393,0.004952991452991454,0.05333760683760684,1000,20260812,10
unseen_jammer,snr_db,-6.0,a5_vimd_full,cssl_amc_supervised_adaptation,CSSL,585,0.07625385351920158,0.0476899888345736,0.10381389782734121,0.021954269384964503,0.10034188034188034,0.07144017094017094,0.1290683760683761,1000,20260812,10
unseen_jammer,snr_db,-6.0,a5_vimd_full,mcldnn_reimplementation,MCLDNN,585,-0.09630300379995108,-0.1223799267797202,-0.06851357469771614,0.02159439741553057,-0.09982905982905985,-0.12615384615384614,-0.07519230769230771,1000,20260812,10
unseen_jammer,snr_db,-6.0,a5_vimd_full,iqformer_inspired,IQFormer,585,-0.08348140191342587,-0.11588618889623126,-0.052199294956962294,0.02964661587969377,-0.08529914529914531,-0.1147051282051282,-0.05572222222222223,1000,20260812,10
unseen_jammer,snr_db,-2.0,a5_vimd_full,a0_backbone,A0,609,0.045928289528511274,0.024301637971914192,0.0687768532364147,0.019805089534494145,0.03645320197044334,0.016900656814449914,0.05747536945812808,1000,20260812,10
unseen_jammer,snr_db,-2.0,a5_vimd_full,cssl_amc_supervised_adaptation,CSSL,609,0.04610340175358836,0.018314246106214332,0.07384787025960415,0.012379022765774749,0.0438423645320197,0.016564039408866995,0.07096469622331689,1000,20260812,10
unseen_jammer,snr_db,-2.0,a5_vimd_full,mcldnn_reimplementation,MCLDNN,609,-0.10900986590443225,-0.13330986770082387,-0.08460021377857045,0.015270527377882679,-0.11756978653530377,-0.14155582922824303,-0.09341543513957308,1000,20260812,10
unseen_jammer,snr_db,-2.0,a5_vimd_full,iqformer_inspired,IQFormer,609,-0.12610578410672882,-0.152677780192628,-0.09967527580920531,0.02361365490379363,-0.12742200328407224,-0.15304187192118227,-0.10311576354679804,1000,20260812,10
unseen_jammer,snr_db,2.0,a5_vimd_full,a0_backbone,A0,607,0.0441221329032359,0.024468032986418087,0.06462209999767325,0.018015894591973964,0.03476112026359143,0.016305601317957163,0.05289126853377264,1000,20260812,10
unseen_jammer,snr_db,2.0,a5_vimd_full,cssl_amc_supervised_adaptation,CSSL,607,-0.04551576670823222,-0.07292615782958414,-0.01867657062202537,0.017165968317324844,-0.044645799011532115,-0.07150329489291599,-0.019102141680395396,1000,20260812,10
unseen_jammer,snr_db,2.0,a5_vimd_full,mcldnn_reimplementation,MCLDNN,607,-0.1583885970617389,-0.18212830320449214,-0.1347178229815934,0.013728904132333977,-0.16243822075782538,-0.18583607907743,-0.13854612850082373,1000,20260812,10
unseen_jammer,snr_db,2.0,a5_vimd_full,iqformer_inspired,IQFormer,607,-0.16793345923896244,-0.1973496977010458,-0.13981885977079753,0.026795198725876775,-0.1662273476112026,-0.19374794069192755,-0.14002883031301483,1000,20260812,10
unseen_jammer,snr_db,6.0,a5_vimd_full,a0_backbone,A0,635,0.04032128812371963,0.019518483680913513,0.060912016926220995,0.02094488456060721,0.03275590551181101,0.014488188976377953,0.05087401574803149,1000,20260812,10
unseen_jammer,snr_db,6.0,a5_vimd_full,cssl_amc_supervised_adaptation,CSSL,635,-0.08118257971038645,-0.10662294222337497,-0.0569823388208379,0.016968151794112138,-0.08157480314960629,-0.10567716535433071,-0.05857874015748032,1000,20260812,10
unseen_jammer,snr_db,6.0,a5_vimd_full,mcldnn_reimplementation,MCLDNN,635,-0.1451562941838434,-0.1686646286321693,-0.12147366060566264,0.01607865808990802,-0.15023622047244095,-0.1727755905511811,-0.12802755905511812,1000,20260812,10
unseen_jammer,snr_db,6.0,a5_vimd_full,iqformer_inspired,IQFormer,635,-0.16369898009163478,-0.18864185050698926,-0.1397966802802357,0.015001298900788506,-0.15669291338582675,-0.18033070866141732,-0.13430708661417326,1000,20260812,10
unseen_jammer,snr_db,10.0,a5_vimd_full,a0_backbone,A0,662,0.03473303084761184,0.015537832069777557,0.05572447255772945,0.022194337314255925,0.025226586102719016,0.007700151057401812,0.04335725075528701,1000,20260812,10
unseen_jammer,snr_db,10.0,a5_vimd_full,cssl_amc_supervised_adaptation,CSSL,662,-0.09662816964999979,-0.12123736029205914,-0.07066092241437899,0.02165977366596878,-0.11676737160120845,-0.1407892749244713,-0.09243957703927493,1000,20260812,10
unseen_jammer,snr_db,10.0,a5_vimd_full,mcldnn_reimplementation,MCLDNN,662,-0.14567185903515464,-0.16800080899747072,-0.12098935176381889,0.020459650070063392,-0.16858006042296073,-0.18912764350453173,-0.14591389728096676,1000,20260812,10
unseen_jammer,snr_db,10.0,a5_vimd_full,iqformer_inspired,IQFormer,662,-0.19279594413529155,-0.21837384595375733,-0.166163454077364,0.025933806323314736,-0.20770392749244712,-0.2312726586102719,-0.18293051359516616,1000,20260812,10
unseen_jammer,snr_db,14.0,a5_vimd_full,a0_backbone,A0,621,0.044760054364719436,0.027906441598069095,0.061590351315564354,0.01044360324838875,0.03590982286634462,0.02028985507246377,0.05281803542673108,1000,20260812,10
unseen_jammer,snr_db,14.0,a5_vimd_full,cssl_amc_supervised_adaptation,CSSL,621,-0.08575954240286467,-0.110951549805109,-0.06099435997186786,0.01989479332053108,-0.08824476650563606,-0.11193639291465379,-0.06456924315619969,1000,20260812,10
unseen_jammer,snr_db,14.0,a5_vimd_full,mcldnn_reimplementation,MCLDNN,621,-0.13975930469022577,-0.16261839768908606,-0.11708152075755521,0.01154588384392571,-0.14605475040257648,-0.16876409017713367,-0.12415458937198068,1000,20260812,10
unseen_jammer,snr_db,14.0,a5_vimd_full,iqformer_inspired,IQFormer,621,-0.1827153959756355,-0.2074520576296436,-0.15588601395713544,0.014566053930097692,-0.17697262479871173,-0.20049114331723028,-0.1510426731078905,1000,20260812,10
unseen_jammer,snr_db,18.0,a5_vimd_full,a0_backbone,A0,644,0.030870712369458965,0.01020081486575344,0.05276920873662349,0.025863883252488593,0.025155279503105588,0.009316770186335404,0.044099378881987575,1000,20260812,10
unseen_jammer,snr_db,18.0,a5_vimd_full,cssl_amc_supervised_adaptation,CSSL,644,-0.11431044412759835,-0.1408954560973538,-0.08985545310492685,0.017402355710324682,-0.125,-0.14969332298136648,-0.10076863354037269,1000,20260812,10
unseen_jammer,snr_db,18.0,a5_vimd_full,mcldnn_reimplementation,MCLDNN,644,-0.16306781179038193,-0.1842850888596167,-0.14305280786176172,0.013520822206449852,-0.18291925465838507,-0.20419642857142856,-0.16071428571428573,1000,20260812,10
unseen_jammer,snr_db,18.0,a5_vimd_full,iqformer_inspired,IQFormer,644,-0.21992982156531107,-0.24457599101517005,-0.1952631304928827,0.022380890034397666,-0.22748447204968944,-0.25217391304347825,-0.20418866459627327,1000,20260812,10
unseen_jammer,sir_db,-10.0,a5_vimd_full,a0_backbone,A0,983,0.03581928783062473,0.018069986271787675,0.05519122132514078,0.02316676150151608,0.02878942014242116,0.012614445574771111,0.04456256358087487,1000,20260812,10
unseen_jammer,sir_db,-10.0,a5_vimd_full,cssl_amc_supervised_adaptation,CSSL,983,-0.03433332824576121,-0.05299182704014346,-0.015059108361973602,0.014506696358413167,-0.01922685656154628,-0.03886063072227874,0.0002085452695829046,1000,20260812,10
unseen_jammer,sir_db,-10.0,a5_vimd_full,mcldnn_reimplementation,MCLDNN,983,-0.13808015976913227,-0.1601552618804368,-0.1148762942461371,0.021751153703313923,-0.13184130213631737,-0.15218972533062053,-0.11098168870803664,1000,20260812,10
unseen_jammer,sir_db,-10.0,a5_vimd_full,iqformer_inspired,IQFormer,983,-0.1268096195854755,-0.14827167018589266,-0.10376612089364375,0.02118948123577116,-0.13051881993896236,-0.15372075279755848,-0.1089496439471007,1000,20260812,10
unseen_jammer,sir_db,-5.0,a5_vimd_full,a0_backbone,A0,1017,0.02834355356071493,0.007831681193079783,0.04993395282557514,0.026818823573941344,0.028711897738446412,0.010518682399213376,0.04660766961651917,1000,20260812,10
unseen_jammer,sir_db,-5.0,a5_vimd_full,cssl_amc_supervised_adaptation,CSSL,1017,-0.03933429185914283,-0.06303799902499044,-0.016507710505738914,0.020971898397375975,-0.026548672566371685,-0.050049164208456245,-0.004223205506391351,1000,20260812,10
unseen_jammer,sir_db,-5.0,a5_vimd_full,mcldnn_reimplementation,MCLDNN,1017,-0.16168611826117346,-0.18220973872187668,-0.14032746627752987,0.009551808941823694,-0.1624385447394297,-0.18338249754178956,-0.14050884955752213,1000,20260812,10
unseen_jammer,sir_db,-5.0,a5_vimd_full,iqformer_inspired,IQFormer,1017,-0.15280955859638964,-0.1771435543086425,-0.12795963482506195,0.022218807601440363,-0.15781710914454275,-0.1815167158308751,-0.1343166175024582,1000,20260812,10
unseen_jammer,sir_db,0.0,a5_vimd_full,a0_backbone,A0,985,0.025959979573213814,0.006619249929816666,0.04303776753978121,0.02233347862475186,0.020203045685279163,0.004055837563451776,0.035434010152284263,1000,20260812,10
unseen_jammer,sir_db,0.0,a5_vimd_full,cssl_amc_supervised_adaptation,CSSL,985,-0.047794699755624094,-0.06990404077102176,-0.024945222030297042,0.01800556168417868,-0.040101522842639584,-0.06152791878172588,-0.017862944162436552,1000,20260812,10
unseen_jammer,sir_db,0.0,a5_vimd_full,mcldnn_reimplementation,MCLDNN,985,-0.13873430235195075,-0.1625415562214689,-0.11498634590765162,0.023177648311761445,-0.13522842639593907,-0.15695685279187815,-0.11360152284263961,1000,20260812,10
unseen_jammer,sir_db,0.0,a5_vimd_full,iqformer_inspired,IQFormer,985,-0.1566137008724672,-0.1813263633819834,-0.13181465735715983,0.022693373323176655,-0.15401015228426398,-0.1773654822335025,-0.13085786802030458,1000,20260812,10
unseen_jammer,sir_db,5.0,a5_vimd_full,a0_backbone,A0,973,0.04174144571369708,0.02493090789755922,0.0559947450508936,0.012424840699828108,0.035046248715313456,0.019100719424460434,0.04923175745118191,1000,20260812,10
unseen_jammer,sir_db,5.0,a5_vimd_full,cssl_amc_supervised_adaptation,CSSL,973,-0.042067352811743765,-0.06585262610981064,-0.02073855598676353,0.01788103191030331,-0.03237410071942447,-0.05580678314491264,-0.010583247687564237,1000,20260812,10
unseen_jammer,sir_db,5.0,a5_vimd_full,mcldnn_reimplementation,MCLDNN,973,-0.10191322596342714,-0.12157895728113985,-0.08287599559802682,0.009345412030548783,-0.10452209660842757,-0.12528776978417266,-0.08437564234326825,1000,20260812,10
unseen_jammer,sir_db,5.0,a5_vimd_full,iqformer_inspired,IQFormer,973,-0.14128783590254024,-0.16179439840535179,-0.11939044253600606,0.014352309169208776,-0.13031860226104836,-0.1499563206577595,-0.10924717368961974,1000,20260812,10
unseen_jammer,sir_db,10.0,a5_vimd_full,a0_backbone,A0,1042,0.033732696226569006,0.021055666689712902,0.04761385547908184,0.011511994583257322,0.03397312859884838,0.021017274472168907,0.046456333973128594,1000,20260812,10
unseen_jammer,sir_db,10.0,a5_vimd_full,cssl_amc_supervised_adaptation,CSSL,1042,-0.0735094283218904,-0.09319326846463381,-0.054484428540333876,0.010722517799608729,-0.0521113243761996,-0.07245921305182343,-0.032245681381957776,1000,20260812,10
