regime,snr_db,sir_db,row_count,reference,reference_short,a5_macro_f1,macro_f1_difference,macro_f1_ci95_low,macro_f1_ci95_high,macro_f1_seed_std,accuracy_difference,accuracy_ci95_low,accuracy_ci95_high,bootstrap_draws,bootstrap_seed,algorithm_seed_count
hard_interference,-10.0,-15.0,181,mcldnn_reimplementation,MCLDNN,0.14890424179913928,0.08825481704741026,0.05046686529069286,0.12149156217768815,0.02621103487388207,0.07734806629834254,0.03700276243093922,0.11770718232044196,800,20260812,10
hard_interference,-10.0,-15.0,181,iqformer_inspired,IQFormer,0.14890424179913928,0.07354814171539555,0.03897276461252776,0.10800593345696659,0.02781495017678511,0.07348066298342541,0.03314917127071823,0.11493093922651931,800,20260812,10
hard_interference,-10.0,-15.0,181,cssl_amc_supervised_adaptation,CSSL,0.14890424179913928,0.05078136883678406,0.014004738586399683,0.08567257424834102,0.01976800378897513,0.06850828729281769,0.028176795580110492,0.10662983425414366,800,20260812,10
hard_interference,-10.0,-15.0,181,a0_backbone,A0,0.14890424179913928,0.013505070601699148,-0.01734952150480791,0.04960132068883826,0.02342024164796423,0.012707182320441986,-0.022651933701657457,0.051933701657458566,800,20260812,10
hard_interference,-10.0,-10.0,158,mcldnn_reimplementation,MCLDNN,0.18098676305200426,0.04114375830059296,-9.529194906648558e-05,0.08175384658804905,0.02607626124764102,0.032911392405063286,-0.010791139240506328,0.07849683544303797,800,20260812,10
hard_interference,-10.0,-10.0,158,iqformer_inspired,IQFormer,0.18098676305200426,-0.0057733893604346356,-0.051229387924977485,0.03812086063276356,0.029609874237853665,-0.013291139240506322,-0.06075949367088608,0.03419303797468353,800,20260812,10
hard_interference,-10.0,-10.0,158,cssl_amc_supervised_adaptation,CSSL,0.18098676305200426,0.052456913084670445,0.006095284512617614,0.09635646699762525,0.032871729788225286,0.06265822784810127,0.012642405063291142,0.11014240506329114,800,20260812,10
hard_interference,-10.0,-10.0,158,a0_backbone,A0,0.18098676305200426,0.009069935895539834,-0.028229912125533843,0.04979150831757687,0.036004866617977554,0.014556962025316459,-0.025316455696202535,0.053813291139240486,800,20260812,10
hard_interference,-10.0,-5.0,179,mcldnn_reimplementation,MCLDNN,0.15603477253532144,-0.02536997388173363,-0.062385064782751,0.01519244043325078,0.02136259884402324,-0.016201117318435758,-0.05476256983240225,0.03184357541899441,800,20260812,10
hard_interference,-10.0,-5.0,179,iqformer_inspired,IQFormer,0.15603477253532144,-0.049933947727971856,-0.08984836800936663,-0.007847290083372127,0.019920153713906732,-0.05083798882681564,-0.09385474860335195,-0.007807262569832412,800,20260812,10
hard_interference,-10.0,-5.0,179,cssl_amc_supervised_adaptation,CSSL,0.15603477253532144,0.026416672879381275,-0.012972180995738547,0.06711303110068186,0.021580713717548453,0.05530726256983239,0.00893854748603352,0.10167597765363127,800,20260812,10
hard_interference,-10.0,-5.0,179,a0_backbone,A0,0.15603477253532144,0.0001470026086681661,-0.03569944327700569,0.035532125928380405,0.031129116513119504,0.010055865921787704,-0.02849162011173184,0.04861731843575418,800,20260812,10
